Fraud_Case_ID,Transaction_ID,Fraud_Flag,Risk_Score,Detection_Method,Case_Status
2000108,10215878,0,0.659,Rule,Confirmed
2000109,10312736,1,0.897,Rule,Open
2000110,10332585,0,0.644,Rule,Closed
2000111,10291917,0,0.133,Rule,Open
2000112,10206587,0,0.545,Rule,Closed
2000113,10006040,0,0.532,Rule,Open
2000114,10326963,0,0.391,ML Model,Closed
2000115,10248776,0,0.762,Manual,Confirmed
2000116,10273587,0,0.294,Manual,Closed
2000117,10158755,0,0.209,ML Model,Confirmed
2000118,10101404,0,0.503,Rule,Closed
2000119,10044076,0,0.332,Rule,Confirmed
2000120,10190949,0,0.434,Manual,Open
2000121,10064743,0,0.149,Manual,Confirmed
2000122,10137500,0,0.454,Manual,Confirmed
2000123,10357088,0,0.879,ML Model,Confirmed
2000124,10077599,0,0.652,ML Model,Open
2000125,10002107,0,0.517,Manual,Open
2000126,10160252,0,0.787,ML Model,False Positive
2000127,10109134,0,0.446,Rule,Closed
2000128,10101614,0,0.652,ML Model,Closed
2000129,10187012,1,0.847,ML Model,Confirmed
2000130,10292609,0,0.421,ML Model,Open
2000131,10029827,0,0.231,Manual,Open
2000132,10128309,0,0.247,ML Model,False Positive
2000133,10144592,0,0.14,ML Model,Confirmed
2000134,10314653,0,0.728,Manual,Closed
2000135,10313989,0,0.506,ML Model,False Positive
2000136,10199762,0,0.63,Manual,Confirmed
2000137,10235151,0,0.197,ML Model,False Positive
2000138,10301707,1,0.138,Manual,Open
2000139,10395916,0,0.798,Manual,Open
2000140,10214030,0,0.481,ML Model,Closed
2000141,10232957,0,0.619,Manual,Open
2000142,10107067,0,0.052,ML Model,Confirmed
2000143,10237437,0,0.677,ML Model,Confirmed
2000144,10120317,0,0.761,ML Model,False Positive
2000145,10159913,0,0.03,ML Model,Closed
2000146,10312280,0,0.522,Manual,Closed
2000147,10396224,0,0.484,Manual,Confirmed
2000148,10041512,0,0.386,ML Model,Closed
2000149,10292190,0,0.678,ML Model,Closed
2000150,10396256,0,0.818,ML Model,Closed
2000151,10332170,0,0.59,Manual,Open
2000152,10085773,0,0.828,Manual,False Positive
2000153,10213971,0,0.186,ML Model,False Positive
2000154,10052899,1,0.481,Rule,Open
2000155,10336569,0,0.288,Manual,False Positive
2000156,10237925,0,0.284,Manual,Confirmed
2000157,10006030,0,0.559,Manual,Open
2000158,10154163,0,0.381,Rule,Confirmed
2000159,10009954,0,0.029,Rule,False Positive
2000160,10182753,0,0.868,ML Model,Closed
2000161,10132349,0,0.88,ML Model,Closed
2000162,10380640,0,0.043,Manual,Confirmed
2000163,10035361,0,0.61,Rule,Closed
2000164,10002780,0,0.662,ML Model,Confirmed
2000165,10049715,0,0.789,Rule,Confirmed
2000166,10153892,0,0.684,ML Model,Confirmed
2000167,10004392,0,0.97,Manual,Confirmed
2000168,10341439,0,0.646,Manual,False Positive
2000169,10003616,0,0.153,ML Model,False Positive
2000170,10160917,0,0.431,Rule,Closed
2000171,10179338,0,0.427,Rule,Closed
2000172,10060036,0,0.908,Manual,False Positive
2000173,10320791,0,0.409,Rule,Confirmed
2000174,10036571,0,0.493,Manual,Confirmed
2000175,10224343,0,0.66,Rule,Open
2000176,10369564,0,0.929,ML Model,Open
2000177,10169778,0,0.692,Manual,Closed
2000178,10157531,0,0.493,Manual,Open
2000179,10176874,0,0.294,ML Model,Open
2000180,10129666,0,0.891,Manual,Open
2000181,10044065,1,0.09,ML Model,Confirmed
2000182,10103173,0,0.114,Rule,Open
2000183,10299587,0,0.177,Rule,Confirmed
2000184,10360448,0,0.265,Manual,Confirmed
2000185,10106685,0,0.257,ML Model,Confirmed
2000186,10173019,0,0.058,Rule,Open
2000187,10256957,0,0.173,Manual,Closed
2000188,10122138,0,0.155,ML Model,Closed
2000189,10030331,0,0.514,Manual,Open
2000190,10345633,0,0.877,Manual,Closed
2000191,10169602,0,0.945,ML Model,False Positive
2000192,10053447,0,0.67,Rule,Closed
2000193,10122106,0,0.781,Rule,Closed
2000194,10154509,0,0.617,Rule,Closed
2000195,10057229,0,0.243,Rule,Confirmed
2000196,10329811,1,0.184,ML Model,Closed
2000197,10101825,0,0.935,ML Model,Closed
2000198,10164804,0,0.813,Rule,Confirmed
2000199,10041898,0,0.124,ML Model,False Positive
2000200,10231090,1,0.315,Manual,False Positive
2000201,10089199,0,0.891,Rule,Closed
2000202,10383890,0,0.88,Rule,Open
2000203,10123785,1,0.592,Manual,Open
2000204,10233369,0,0.09,Rule,Confirmed
2000205,10002274,0,0.731,Manual,Open
2000206,10373253,0,0.485,ML Model,Confirmed
2000207,10256063,0,0.324,Rule,Open
2000208,10123677,0,0.114,Rule,Open
2000209,10027421,0,0.272,Manual,False Positive
2000210,10312305,0,0.447,Rule,Open
2000211,10112422,0,0.701,Rule,Confirmed
2000212,10043342,0,0.158,Rule,False Positive
2000213,10195994,1,0.412,ML Model,Closed
2000214,10306168,0,0.294,ML Model,Confirmed
2000215,10286046,0,0.819,ML Model,Open
2000216,10222343,0,0.699,Manual,Open
2000217,10270879,0,0.126,Manual,False Positive
2000218,10197000,0,0.586,ML Model,Confirmed
2000219,10353382,0,0.758,Manual,Confirmed
2000220,10050014,0,0.886,Manual,Closed
2000221,10155126,0,0.399,Rule,False Positive
2000222,10065970,0,0.493,Manual,Confirmed
2000223,10196656,0,0.063,Manual,Closed
2000224,10070500,0,0.023,ML Model,Confirmed
2000225,10299907,0,0.066,Rule,Open
2000226,10294464,0,0.081,ML Model,Confirmed
2000227,10083396,0,0.265,Manual,Closed
2000228,10126324,0,0.137,Rule,Confirmed
2000229,10301071,0,0.764,ML Model,Open
2000230,10388779,0,0.087,ML Model,Closed
2000231,10259283,0,0.845,Manual,Closed
2000232,10368617,0,0.199,Manual,False Positive
2000233,10259426,0,0.748,Rule,False Positive
2000234,10246665,0,0.305,Rule,False Positive
2000235,10375409,0,0.951,ML Model,Open
2000236,10365708,0,0.574,Rule,False Positive
2000237,10066255,0,0.024,ML Model,Closed
2000238,10196082,0,0.509,ML Model,False Positive
2000239,10233760,0,0.657,Rule,False Positive
2000240,10081330,0,0.855,ML Model,Closed
2000241,10315617,0,0.868,Manual,Closed
2000242,10362076,0,0.876,Rule,Open
2000243,10361536,0,0.038,Rule,False Positive
2000244,10196323,0,0.373,Rule,Open
2000245,10127663,0,0.309,Manual,Confirmed
2000246,10157160,0,0.087,Manual,False Positive
2000247,10397288,0,0.751,Manual,Open
2000248,10111296,0,0.382,Rule,False Positive
2000249,10164024,0,0.45,ML Model,Confirmed
2000250,10136372,0,0.35,ML Model,Open
2000251,10236054,0,0.715,Manual,Closed
2000252,10372736,0,0.597,Rule,Closed
2000253,10352755,0,0.129,Rule,False Positive
2000254,10084801,0,0.987,Rule,False Positive
2000255,10138654,1,0.169,Rule,Open
2000256,10158940,0,0.034,Manual,Closed
2000257,10306359,0,0.522,ML Model,Open
2000258,10282685,0,0.498,Rule,Open
2000259,10125167,0,0.223,Manual,Open
2000260,10223191,1,0.351,ML Model,Confirmed
2000261,10112908,0,0.675,ML Model,Confirmed
2000262,10111066,1,0.286,ML Model,Open
2000263,10112635,0,0.019,ML Model,Closed
2000264,10282120,0,0.628,Rule,Open
2000265,10155045,0,0.867,Rule,False Positive
2000266,10078450,0,0.2,Rule,Closed
2000267,10000934,0,0.765,Manual,Confirmed
2000268,10351497,0,0.82,ML Model,False Positive
2000269,10376123,0,0.663,Rule,Closed
2000270,10104360,0,0.83,Manual,Closed
2000271,10067287,1,0.218,Rule,Closed
2000272,10346897,0,0.266,Manual,Confirmed
2000273,10059746,0,0.877,ML Model,False Positive
2000274,10220873,0,0.92,ML Model,False Positive
2000275,10098006,0,0.898,Manual,Closed
2000276,10023568,0,0.23,Manual,False Positive
2000277,10073489,0,0.133,ML Model,Closed
2000278,10162382,0,0.952,ML Model,Open
2000279,10167795,0,0.003,Manual,Confirmed
2000280,10350481,0,0.738,ML Model,Confirmed
2000281,10182469,0,0.848,ML Model,Confirmed
2000282,10167422,0,0.361,Rule,False Positive
2000283,10233312,0,0.118,Rule,Open
2000284,10225697,1,0.614,Rule,Confirmed
2000285,10236152,0,0.888,Rule,Confirmed
2000286,10393360,0,0.267,Manual,False Positive
2000287,10171998,0,0.885,Rule,Closed
2000288,10101207,0,0.651,Rule,Open
2000289,10149959,0,0.158,ML Model,False Positive
2000290,10160100,0,0.535,Manual,Confirmed
2000291,10085596,0,0.071,Rule,Open
2000292,10342442,0,0.581,Rule,Closed
2000293,10354623,0,0.997,ML Model,Open
2000294,10249156,0,0.498,Manual,False Positive
2000295,10363008,0,0.887,Rule,Confirmed
2000296,10000496,1,0.563,Rule,Confirmed
2000297,10300742,1,0.702,Rule,Closed
2000298,10374244,0,0.472,Rule,Confirmed
2000299,10060421,0,0.938,ML Model,False Positive
2000300,10272723,0,0.547,ML Model,Closed
2000301,10029310,0,0.049,ML Model,Open
2000302,10030789,0,0.371,ML Model,Open
2000303,10088268,0,0.038,Rule,Confirmed
2000304,10281169,0,0.358,Rule,Open
2000305,10250207,0,0.778,ML Model,False Positive
2000306,10019705,0,0.28,ML Model,Confirmed
2000307,10241058,0,0.818,Manual,Confirmed
2000308,10354191,0,0.517,Manual,Open
2000309,10382581,0,0.518,ML Model,False Positive
2000310,10142164,0,0.916,Manual,False Positive
2000311,10071339,0,0.463,Rule,Confirmed
2000312,10256772,0,0.649,ML Model,Open
2000313,10104038,0,0.337,Rule,Confirmed
2000314,10360830,0,0.331,Manual,Closed
2000315,10084620,1,0.163,ML Model,Confirmed
2000316,10203163,0,0.769,Rule,Confirmed
2000317,10369232,0,0.158,Manual,Open
2000318,10018499,0,0.011,ML Model,False Positive
2000319,10087685,0,0.055,Rule,Confirmed
2000320,10308230,0,0.59,Rule,Confirmed
2000321,10271523,0,0.915,Manual,False Positive
2000322,10194054,0,0.339,Manual,Open
2000323,10351933,0,0.955,ML Model,False Positive
2000324,10214065,0,0.996,ML Model,Confirmed
2000325,10379127,0,0.888,Rule,Open
2000326,10138653,0,0.077,Rule,Confirmed
2000327,10003194,0,0.222,ML Model,Open
2000328,10045656,0,0.052,Manual,False Positive
2000329,10038617,0,0.353,ML Model,Open
2000330,10139111,0,0.319,Rule,False Positive
2000331,10357629,0,0.328,Manual,Closed
2000332,10045648,0,0.372,Rule,False Positive
2000333,10388163,0,0.801,ML Model,Closed
2000334,10217581,0,0.542,Rule,Closed
2000335,10133200,0,0.102,Manual,Open
2000336,10146519,0,0.811,Rule,Confirmed
2000337,10199108,0,0.016,Manual,Confirmed
2000338,10044300,0,0.467,ML Model,Confirmed
2000339,10064118,0,0.269,Rule,Confirmed
2000340,10116353,0,0.765,ML Model,Confirmed
2000341,10166766,1,0.307,ML Model,Open
2000342,10064238,0,0.766,Manual,Closed
2000343,10363525,0,0.53,ML Model,Closed
2000344,10309125,0,0.126,Manual,False Positive
2000345,10130030,0,0.292,ML Model,False Positive
2000346,10041927,0,0.847,Manual,Open
2000347,10300567,1,0.994,Rule,Open
2000348,10135580,0,0.011,Rule,Confirmed
2000349,10042556,0,0.901,Manual,Confirmed
2000350,10144182,0,0.961,Rule,Closed
2000351,10363124,0,0.616,Rule,Confirmed
2000352,10296441,1,0.904,Rule,Closed
2000353,10007961,0,0.087,Rule,False Positive
2000354,10358758,0,0.271,Manual,Confirmed
2000355,10199600,0,0.983,ML Model,False Positive
2000356,10161341,0,0.835,Rule,False Positive
2000357,10019604,0,0.525,Rule,Closed
2000358,10207561,0,0.191,Manual,Open
2000359,10265726,0,0.309,ML Model,Closed
2000360,10074031,0,0.048,Rule,Closed
2000361,10078382,0,0.514,ML Model,Confirmed
2000362,10129417,0,0.266,Rule,Confirmed
2000363,10087016,0,0.968,ML Model,Confirmed
2000364,10010547,0,0.976,ML Model,False Positive
2000365,10212246,0,0.988,Rule,False Positive
2000366,10155516,0,0.271,ML Model,Closed
2000367,10295572,0,0.533,Manual,False Positive
2000368,10085880,1,0.705,Manual,Confirmed
2000369,10110309,0,0.083,ML Model,Closed
2000370,10391721,0,0.038,Rule,Closed
2000371,10251545,0,0.165,Manual,Closed
2000372,10351179,0,0.13,ML Model,Confirmed
2000373,10318194,0,0.456,ML Model,Closed
2000374,10149941,0,0.486,ML Model,Confirmed
2000375,10031542,0,0.388,Manual,False Positive
2000376,10330792,0,0.069,ML Model,Open
2000377,10301661,0,0.571,Manual,False Positive
2000378,10141043,0,0.595,Rule,Open
2000379,10367946,0,0.281,Rule,Closed
2000380,10267899,0,0.174,ML Model,False Positive
2000381,10340359,1,0.069,Manual,Open
2000382,10006191,0,0.518,Rule,Confirmed
2000383,10049906,0,0.535,ML Model,Confirmed
2000384,10070181,0,0.831,Manual,Open
2000385,10308271,0,0.288,Rule,Confirmed
2000386,10041123,0,0.168,ML Model,False Positive
2000387,10121673,0,0.423,Rule,Confirmed
2000388,10248367,0,0.03,Rule,Closed
2000389,10076246,0,0.516,Rule,Confirmed
2000390,10129844,0,0.58,Manual,False Positive
2000391,10253930,0,0.158,Manual,Closed
2000392,10188642,0,0.384,Rule,Open
2000393,10118684,0,0.862,ML Model,Closed
2000394,10170659,0,0.363,Manual,Open
2000395,10150738,0,0.746,Rule,False Positive
2000396,10317916,0,0.059,Manual,Confirmed
2000397,10284203,1,0.745,ML Model,Open
2000398,10323691,0,0.812,ML Model,Confirmed
2000399,10034317,0,0.88,Rule,Open
2000400,10039555,0,0.285,Manual,Confirmed
2000401,10163468,0,0.469,Rule,Confirmed
2000402,10339959,1,0.955,Manual,Confirmed
2000403,10037733,0,0.63,ML Model,False Positive
2000404,10331393,0,0.623,ML Model,False Positive
2000405,10249357,0,0.24,Rule,Open
2000406,10095440,0,0.296,ML Model,False Positive
2000407,10345267,0,0.248,Rule,Confirmed
2000408,10322243,0,0.711,Rule,Closed
2000409,10349411,0,0.036,Manual,Closed
2000410,10050001,0,0.781,Rule,Closed
2000411,10292641,0,0.935,Rule,Closed
2000412,10356224,0,0.902,ML Model,False Positive
2000413,10157419,0,0.234,ML Model,Closed
2000414,10162398,0,0.867,Rule,False Positive
2000415,10321950,0,0.98,ML Model,Open
2000416,10053362,0,0.096,ML Model,Closed
2000417,10359516,0,0.312,Rule,Closed
2000418,10317190,0,0.272,Rule,Closed
2000419,10377700,0,0.404,ML Model,Open
2000420,10313977,0,0.067,Manual,Open
2000421,10012184,0,0.525,ML Model,Closed
2000422,10153240,0,0.537,Rule,Confirmed
2000423,10385102,0,0.484,Manual,Closed
2000424,10227959,0,0.659,ML Model,Open
2000425,10370138,0,0.901,ML Model,Open
2000426,10372344,0,0.154,Manual,False Positive
2000427,10127235,0,0.253,Manual,Open
2000428,10001498,0,0.218,Manual,Open
2000429,10165755,0,0.63,Manual,Closed
2000430,10229523,1,0.03,Manual,Closed
2000431,10347907,0,0.76,ML Model,Confirmed
2000432,10321717,0,0.783,Manual,Closed
2000433,10079963,0,0.082,Manual,Open
2000434,10381170,0,0.05,ML Model,Confirmed
2000435,10087398,0,0.521,ML Model,False Positive
2000436,10191234,0,0.257,Manual,Open
2000437,10206037,0,0.179,ML Model,False Positive
2000438,10349532,0,0.373,Rule,Confirmed
2000439,10076268,0,0.933,Rule,Open
2000440,10253165,0,0.271,Manual,False Positive
2000441,10108886,0,0.777,Manual,Confirmed
2000442,10049461,0,0.099,ML Model,Closed
2000443,10337236,0,0.106,Manual,Open
2000444,10054397,0,0.84,Rule,Open
2000445,10076524,0,0.34,Manual,Closed
2000446,10045534,0,0.28,Rule,False Positive
2000447,10119153,0,0.066,Manual,Confirmed
2000448,10297369,0,0.873,ML Model,Open
2000449,10123660,0,0.998,Rule,Closed
2000450,10187783,0,0.29,Rule,Confirmed
2000451,10203058,0,0.272,Rule,Closed
2000452,10241802,0,0.443,Rule,Open
2000453,10375586,0,0.378,Rule,Closed
2000454,10241706,0,0.21,ML Model,Closed
2000455,10301167,0,0.851,Rule,Closed
2000456,10220056,0,0.289,Rule,False Positive
2000457,10320123,0,0.834,Rule,Open
2000458,10120917,0,0.917,Manual,Closed
2000459,10198500,0,0.176,ML Model,False Positive
2000460,10071540,1,0.157,ML Model,False Positive
2000461,10301108,0,0.803,Rule,Closed
2000462,10064269,0,0.653,Manual,Confirmed
2000463,10130689,0,0.63,Rule,Open
2000464,10254477,0,0.309,Manual,Closed
2000465,10287195,0,0.022,Rule,Closed
2000466,10299826,0,0.197,Rule,False Positive
2000467,10207140,0,0.408,Rule,False Positive
2000468,10336173,0,0.425,Manual,Closed
2000469,10235062,0,0.882,Rule,Closed
2000470,10112351,0,0.836,Manual,Open
2000471,10001965,0,0.499,Manual,Closed
2000472,10289795,0,0.662,ML Model,Closed
2000473,10303960,0,0.875,ML Model,Confirmed
2000474,10231746,0,0.111,Manual,Confirmed
2000475,10193889,0,0.215,Manual,False Positive
2000476,10068898,0,0.887,Manual,Closed
2000477,10320773,0,0.383,Rule,False Positive
2000478,10017998,0,0.773,ML Model,False Positive
2000479,10311853,0,0.989,Manual,Open
2000480,10104571,0,0.392,ML Model,Open
2000481,10175673,0,0.077,Manual,Closed
2000482,10330383,0,0.895,Rule,Confirmed
2000483,10333297,0,0.007,Manual,False Positive
2000484,10272822,1,0.53,Manual,Closed
2000485,10024527,0,0.256,Manual,Confirmed
2000486,10262784,0,0.777,ML Model,Confirmed
2000487,10087117,0,0.679,Rule,Open
2000488,10165427,0,0.324,Rule,False Positive
2000489,10069279,0,0.064,Rule,Open
2000490,10128329,0,0.347,ML Model,False Positive
2000491,10262206,0,0.834,ML Model,Open
2000492,10224681,0,0.471,Manual,Closed
2000493,10016773,0,0.732,ML Model,Closed
2000494,10352833,1,0.568,Rule,False Positive
2000495,10162353,0,0.561,Manual,False Positive
2000496,10137487,0,0.712,Manual,Closed
2000497,10306749,1,0.374,Manual,Confirmed
2000498,10100724,0,0.543,Rule,False Positive
2000499,10278420,0,0.164,Manual,Closed
2000500,10186619,0,0.35,ML Model,Closed
2000501,10045959,0,0.135,Rule,Open
2000502,10190673,0,0.672,Rule,False Positive
2000503,10219703,0,0.139,ML Model,Open
2000504,10021766,0,0.376,ML Model,Open
2000505,10369602,0,0.215,Manual,Confirmed
2000506,10035096,0,0.048,ML Model,Confirmed
2000507,10382732,1,0.806,Manual,Open
2000508,10200750,0,0.476,Rule,Confirmed
2000509,10391449,0,0.911,Rule,Confirmed
2000510,10208380,0,0.567,Rule,False Positive
2000511,10278017,0,0.139,Manual,Confirmed
2000512,10089726,0,0.642,Manual,Closed
2000513,10275572,0,0.971,Rule,Open
2000514,10205494,0,0.402,Manual,Open
2000515,10080994,0,0.2,Rule,Open
2000516,10399769,0,0.407,Manual,Closed
2000517,10333492,0,0.122,ML Model,Open
2000518,10243230,0,0.412,Manual,Open
2000519,10399326,0,0.256,Manual,Open
2000520,10181527,0,0.104,Rule,False Positive
2000521,10335342,0,0.901,Manual,Closed
2000522,10192066,0,0.49,Rule,False Positive
2000523,10069261,0,0.185,ML Model,Closed
2000524,10164708,1,0.835,Manual,Confirmed
2000525,10095919,0,0.967,ML Model,Confirmed
2000526,10328584,0,0.592,Rule,Confirmed
2000527,10192404,0,0.242,Rule,False Positive
2000528,10110455,1,0.383,Manual,False Positive
2000529,10275339,0,0.157,Rule,Closed
2000530,10246046,0,0.918,ML Model,Closed
2000531,10095312,0,0.928,Rule,False Positive
2000532,10043205,0,0.616,Manual,Closed
2000533,10111790,0,0.372,Rule,Open
2000534,10304494,0,0.655,Manual,False Positive
2000535,10271671,0,0.304,Rule,Closed
2000536,10040300,0,0.122,ML Model,Open
2000537,10316762,0,0.593,Manual,Closed
2000538,10300910,1,0.348,Rule,Open
2000539,10175184,0,0.848,ML Model,False Positive
2000540,10132533,0,0.17,ML Model,Closed
2000541,10373470,0,0.412,ML Model,Closed
2000542,10156473,0,0.938,Rule,Closed
2000543,10018730,0,0.334,ML Model,Confirmed
2000544,10196191,0,0.148,ML Model,False Positive
2000545,10011255,0,0.204,Rule,Confirmed
2000546,10169266,0,0.955,Rule,Confirmed
2000547,10141025,0,0.305,ML Model,Open
2000548,10040238,0,0.134,Rule,Confirmed
2000549,10390940,0,0.583,Manual,Closed
2000550,10389936,0,0.505,Manual,False Positive
2000551,10197411,1,0.04,Rule,Closed
2000552,10192272,0,0.596,Manual,False Positive
2000553,10266232,0,0.264,Rule,Open
2000554,10367311,0,0.407,Manual,Closed
2000555,10065054,0,0.137,Rule,Open
2000556,10276972,0,0.742,Rule,Open
2000557,10176468,0,0.189,ML Model,Confirmed
2000558,10305298,0,0.335,ML Model,Confirmed
2000559,10152069,1,0.579,Rule,Closed
2000560,10393224,0,0.394,Rule,Closed
2000561,10018159,0,0.126,Manual,False Positive
2000562,10009977,0,0.814,Manual,Confirmed
2000563,10056041,0,0.639,ML Model,Confirmed
2000564,10000259,0,0.528,Rule,Open
2000565,10088038,1,0.541,Rule,Confirmed
2000566,10129896,0,0.804,ML Model,Closed
2000567,10374653,0,0.762,ML Model,Confirmed
2000568,10289608,0,0.086,Rule,Closed
2000569,10241918,0,0.38,Rule,Closed
2000570,10042919,0,0.484,Rule,False Positive
2000571,10225034,0,0.954,Rule,Confirmed
2000572,10165386,0,0.838,ML Model,False Positive
2000573,10019714,0,0.641,Rule,Closed
2000574,10194889,0,0.733,Rule,Confirmed
2000575,10131641,0,0.859,Manual,Open
2000576,10025030,0,0.862,Manual,Closed
2000577,10266455,0,0.309,Manual,Closed
2000578,10128647,0,0.822,Rule,Closed
2000579,10183497,0,0.936,Rule,False Positive
2000580,10028675,0,0.949,Rule,Confirmed
2000581,10376711,0,0.616,Manual,Open
2000582,10097481,0,0.216,ML Model,False Positive
2000583,10119913,0,0.027,Rule,False Positive
2000584,10071309,0,0.109,Manual,Confirmed
2000585,10134758,0,0.041,Rule,Open
2000586,10265786,0,0.808,Manual,Closed
2000587,10230676,0,0.934,ML Model,Open
2000588,10247758,0,0.261,Manual,Confirmed
2000589,10015232,0,0.45,Manual,Closed
2000590,10342229,0,0.856,Manual,Open
2000591,10024145,0,0.053,Rule,False Positive
2000592,10131499,0,0.768,Rule,Confirmed
2000593,10289693,0,0.282,Rule,Confirmed
2000594,10211219,1,0.834,Manual,Open
2000595,10235729,0,0.225,Rule,Closed
2000596,10225447,0,0.633,ML Model,Confirmed
2000597,10124441,0,0.908,Manual,Open
2000598,10115410,0,0.848,Rule,Closed
2000599,10299342,0,0.062,ML Model,False Positive
2000600,10139601,0,0.22,Manual,False Positive
2000601,10308488,0,0.168,Manual,False Positive
2000602,10206230,0,0.797,Rule,Closed
2000603,10247864,0,0.835,Rule,Confirmed
2000604,10005248,1,0.116,Manual,Confirmed
2000605,10039592,0,0.994,Manual,Open
2000606,10379433,0,0.402,ML Model,Open
2000607,10318142,1,0.585,Rule,Open
2000608,10321977,0,0.723,Manual,Open
2000609,10180078,0,0.929,Rule,Open
2000610,10133733,0,0.617,Rule,False Positive
