Account_ID,Customer_ID,Account_Type,Branch,Open_Date,Balance,Status,Year,Month_Number,Month_Name,Quarter
400040,327484,Savings,Delhi,2024-05-25 06:43:16,14161.73,Active,2024,5,May,2
400041,307186,Savings,Delhi,2020-10-27 17:25:02,1577.07,Active,2020,10,October,4
400042,300544,Salary,Bengaluru,2023-07-04 09:12:01,13598.89,Closed,2023,7,July,3
400043,320008,Savings,Delhi,2018-03-26 23:34:54,7780.55,Active,2018,3,March,1
400044,333074,Premium,Delhi,2021-01-14 21:15:25,13245.66,Active,2021,1,January,1
400045,332718,Current,Mumbai,2019-03-14 10:32:23,20310.4,Active,2019,3,March,1
400046,331824,Premium,Bengaluru,2023-08-05 05:56:24,3175.34,Active,2023,8,August,3
400047,329384,Savings,Delhi,2022-10-18 18:19:13,18243.8,Active,2022,10,October,4
400048,308600,Premium,Delhi,2018-09-28 11:50:11,11187.57,Active,2018,9,September,3
400049,332427,Salary,Chennai,2022-03-30 13:52:58,39986.61,Active,2022,3,March,1
400050,325612,Salary,Mumbai,2020-03-02 09:20:25,21566.26,Active,2020,3,March,1
400051,336238,Savings,Bengaluru,2022-11-15 23:35:20,2550.31,Active,2022,11,November,4
400052,316163,Premium,Kolkata,2020-09-16 23:38:44,8466.61,Active,2020,9,September,3
400053,313591,Salary,Bengaluru,2022-05-04 15:13:24,5099.76,Active,2022,5,May,2
400054,335777,Premium,Mumbai,2019-01-04 10:39:15,1805.62,Active,2019,1,January,1
400055,317879,Premium,Mumbai,2018-08-11 19:57:22,24135.81,Active,2018,8,August,3
400056,334105,Current,Bengaluru,2020-05-15 10:24:43,6885.39,Active,2020,5,May,2
400057,304629,Current,Kolkata,2019-10-10 11:29:34,15670.13,Active,2019,10,October,4
400058,303186,Savings,Chennai,2021-07-24 15:25:03,22103.9,Active,2021,7,July,3
400059,329960,Premium,Kolkata,2019-06-16 01:15:31,9380.7,Active,2019,6,June,2
400060,326215,Current,Chennai,2020-03-25 18:54:13,2424.53,Closed,2020,3,March,1
400061,312368,Premium,Delhi,2020-02-03 15:21:51,6428.51,Active,2020,2,February,1
400062,305943,Savings,Kolkata,2021-09-09 08:15:59,6627.07,Active,2021,9,September,3
400063,329595,Current,Mumbai,2019-10-04 13:11:52,7365.01,Active,2019,10,October,4
400064,334380,Premium,Kolkata,2020-04-25 12:39:45,4601.61,Active,2020,4,April,2
400065,308217,Current,Chennai,2021-01-25 16:21:30,59959.55,Active,2021,1,January,1
400066,333819,Current,Kolkata,2023-04-11 01:04:03,22888.31,Dormant,2023,4,April,2
400067,317429,Premium,Chennai,2020-06-28 15:47:47,35945.24,Active,2020,6,June,2
400068,327833,Savings,Bengaluru,2018-04-07 08:15:34,25356.52,Active,2018,4,April,2
400069,310159,Current,Delhi,2022-05-24 23:01:30,21750.75,Active,2022,5,May,2
400070,320094,Salary,Delhi,2021-12-09 00:24:41,3245.69,Active,2021,12,December,4
400071,335556,Savings,Delhi,2019-12-28 12:31:49,1936.05,Active,2019,12,December,4
400072,326456,Premium,Mumbai,2022-05-03 02:07:45,2729.74,Active,2022,5,May,2
400073,335497,Premium,Delhi,2018-05-06 16:35:23,21051.52,Active,2018,5,May,2
400074,307358,Premium,Mumbai,2018-03-22 17:43:52,8847.02,Active,2018,3,March,1
400075,320591,Premium,Kolkata,2019-10-10 04:41:09,8278.46,Active,2019,10,October,4
400076,335711,Salary,Bengaluru,2019-10-23 23:35:31,6902.82,Active,2019,10,October,4
400077,328962,Savings,Delhi,2022-09-02 05:32:40,32619.6,Active,2022,9,September,3
400078,337602,Premium,Delhi,2020-11-20 13:04:23,14646.41,Active,2020,11,November,4
400079,300694,Current,Delhi,2020-01-20 21:03:12,9489.09,Active,2020,1,January,1
400080,301421,Savings,Mumbai,2023-02-17 07:18:06,11477.57,Active,2023,2,February,1
400081,339092,Salary,Delhi,2019-02-10 13:45:21,6998.46,Active,2019,2,February,1
400082,322116,Salary,Mumbai,2019-05-17 13:50:20,9200.33,Active,2019,5,May,2
400083,310834,Premium,Delhi,2023-05-11 15:18:41,13146.44,Active,2023,5,May,2
400084,325743,Current,Mumbai,2019-04-04 04:05:29,5710.83,Closed,2019,4,April,2
400085,336983,Current,Mumbai,2022-03-24 00:27:02,6440.23,Active,2022,3,March,1
400086,327245,Savings,Bengaluru,2018-11-05 02:31:32,24817.69,Active,2018,11,November,4
400087,338994,Savings,Kolkata,2024-05-27 09:35:20,14301.07,Active,2024,5,May,2
400088,332732,Premium,Chennai,2023-02-11 04:51:39,18227.64,Dormant,2023,2,February,1
400089,332686,Current,Delhi,2019-09-15 12:37:39,1267.61,Active,2019,9,September,3
400090,315778,Salary,Bengaluru,2024-06-09 04:23:32,2634.74,Active,2024,6,June,2
400091,315365,Savings,Mumbai,2021-08-08 12:48:51,47975.51,Active,2021,8,August,3
400092,300991,Premium,Delhi,2018-02-24 20:20:10,3988.8,Active,2018,2,February,1
400093,325028,Salary,Bengaluru,2020-04-12 12:50:39,3471.38,Active,2020,4,April,2
400094,301349,Premium,Chennai,2018-07-25 17:09:28,14050.37,Active,2018,7,July,3
400095,301954,Current,Delhi,2023-02-23 14:58:58,5685.9,Active,2023,2,February,1
400096,304958,Premium,Mumbai,2024-04-19 00:32:39,43271.28,Active,2024,4,April,2
400097,310588,Salary,Kolkata,2024-06-11 23:43:54,39684.51,Active,2024,6,June,2
400098,321589,Savings,Delhi,2019-02-13 00:54:34,2906.45,Active,2019,2,February,1
400099,320908,Salary,Kolkata,2022-08-24 01:46:02,26841.67,Active,2022,8,August,3
400100,331278,Salary,Chennai,2023-04-15 20:00:45,16713.45,Active,2023,4,April,2
400101,327805,Savings,Kolkata,2021-08-20 01:05:20,5593.89,Dormant,2021,8,August,3
400102,317640,Savings,Kolkata,2020-01-04 21:10:44,17833.5,Active,2020,1,January,1
400103,303842,Savings,Kolkata,2019-04-24 09:33:20,9311.05,Active,2019,4,April,2
400104,331873,Savings,Kolkata,2021-07-01 19:13:01,4500.04,Active,2021,7,July,3
400105,312653,Current,Mumbai,2018-01-04 02:46:20,59291.94,Active,2018,1,January,1
400106,306206,Savings,Bengaluru,2022-06-30 22:03:25,27227.45,Active,2022,6,June,2
400107,323184,Current,Chennai,2022-05-08 20:46:06,18572.72,Dormant,2022,5,May,2
400108,306756,Premium,Mumbai,2022-10-03 07:15:53,4684.09,Active,2022,10,October,4
400109,316770,Savings,Chennai,2020-09-26 01:35:42,10509.01,Active,2020,9,September,3
400110,333960,Salary,Mumbai,2022-06-03 23:25:42,9725.76,Active,2022,6,June,2
400111,338603,Savings,Bengaluru,2022-03-29 21:38:09,5647.26,Active,2022,3,March,1
400112,334704,Premium,Chennai,2019-11-20 15:08:43,1771.57,Active,2019,11,November,4
400113,329034,Savings,Kolkata,2018-01-19 16:43:17,23857.46,Active,2018,1,January,1
400114,310127,Current,Kolkata,2019-12-21 08:54:41,93230.29,Active,2019,12,December,4
400115,328657,Premium,Kolkata,2019-10-04 01:39:28,6966.47,Active,2019,10,October,4
400116,301255,Current,Mumbai,2020-08-09 22:38:16,2521.36,Active,2020,8,August,3
400117,323228,Salary,Mumbai,2020-08-19 03:17:25,78711.88,Active,2020,8,August,3
400118,302441,Savings,Bengaluru,2021-01-31 07:21:42,11559.5,Active,2021,1,January,1
400119,313280,Current,Kolkata,2019-05-09 08:45:51,8605.77,Active,2019,5,May,2
400120,331802,Premium,Bengaluru,2018-12-25 05:15:49,34021.46,Dormant,2018,12,December,4
400121,333900,Current,Delhi,2023-11-11 01:21:57,3624.83,Closed,2023,11,November,4
400122,315356,Salary,Chennai,2018-05-02 01:25:48,15356.52,Active,2018,5,May,2
400123,334167,Premium,Delhi,2022-10-25 18:10:12,6536.99,Active,2022,10,October,4
400124,300658,Savings,Delhi,2019-01-15 04:05:43,8094.29,Active,2019,1,January,1
400125,325495,Savings,Delhi,2019-05-06 12:27:30,26649.89,Dormant,2019,5,May,2
400126,316854,Current,Bengaluru,2024-06-14 01:54:34,5811.87,Active,2024,6,June,2
400127,316149,Premium,Chennai,2022-12-15 11:26:01,3179.92,Active,2022,12,December,4
400128,330446,Premium,Delhi,2020-06-26 14:13:50,10297.73,Active,2020,6,June,2
400129,310813,Premium,Kolkata,2019-07-08 11:56:13,4237.83,Active,2019,7,July,3
400130,339977,Salary,Chennai,2023-05-25 12:49:27,15917.59,Active,2023,5,May,2
400131,309342,Salary,Delhi,2024-06-29 08:33:20,6929.26,Closed,2024,6,June,2
400132,322589,Premium,Delhi,2021-10-02 03:17:49,14135.51,Active,2021,10,October,4
400133,304999,Salary,Chennai,2024-06-01 06:56:38,5621.03,Closed,2024,6,June,2
400134,317335,Current,Delhi,2020-10-19 17:23:56,22994.44,Active,2020,10,October,4
400135,323657,Savings,Bengaluru,2023-03-08 19:00:48,5819.6,Active,2023,3,March,1
400136,311522,Savings,Bengaluru,2019-02-12 00:17:18,12239.3,Active,2019,2,February,1
400137,320438,Premium,Mumbai,2022-11-05 17:52:39,11983.9,Active,2022,11,November,4
400138,303034,Premium,Kolkata,2024-09-17 03:38:54,46060.96,Active,2024,9,September,3
400139,338269,Salary,Chennai,2018-10-27 18:19:09,29223.64,Active,2018,10,October,4
400140,303268,Premium,Delhi,2023-08-21 22:50:42,4365.95,Active,2023,8,August,3
400141,325747,Savings,Bengaluru,2023-11-15 16:12:30,15117.85,Dormant,2023,11,November,4
400142,304388,Premium,Kolkata,2024-11-05 17:29:18,27873.82,Active,2024,11,November,4
400143,305568,Premium,Delhi,2018-10-17 17:13:25,38385.9,Active,2018,10,October,4
400144,338372,Premium,Bengaluru,2021-12-16 00:07:47,2182.33,Active,2021,12,December,4
400145,325358,Savings,Bengaluru,2019-03-02 05:27:38,10682.3,Active,2019,3,March,1
400146,325624,Premium,Delhi,2019-03-16 06:12:58,64823.29,Closed,2019,3,March,1
400147,317845,Savings,Mumbai,2018-05-09 09:23:29,1603.69,Active,2018,5,May,2
400148,303130,Savings,Mumbai,2020-11-14 14:35:48,4052.67,Dormant,2020,11,November,4
400149,322388,Salary,Chennai,2023-07-07 18:09:35,1789.03,Active,2023,7,July,3
400150,310849,Salary,Delhi,2023-11-15 11:55:52,1613.03,Active,2023,11,November,4
400151,317175,Premium,Mumbai,2022-08-04 18:25:41,6306.8,Active,2022,8,August,3
400152,333001,Premium,Delhi,2024-12-28 09:14:00,20235.62,Active,2024,12,December,4
400153,338115,Savings,Mumbai,2018-02-22 04:46:07,1892.11,Active,2018,2,February,1
400154,333925,Current,Mumbai,2018-11-15 18:14:08,18677.07,Active,2018,11,November,4
400155,328300,Current,Mumbai,2022-10-21 00:05:33,9474.32,Active,2022,10,October,4
400156,330557,Premium,Bengaluru,2022-05-14 06:42:46,2706.68,Active,2022,5,May,2
400157,320484,Premium,Bengaluru,2024-09-23 17:38:54,3320.25,Active,2024,9,September,3
400158,339537,Current,Delhi,2020-08-19 17:33:12,10723.09,Closed,2020,8,August,3
400159,316710,Premium,Mumbai,2022-03-04 19:55:04,4202.4,Active,2022,3,March,1
400160,311087,Current,Mumbai,2020-11-22 03:47:44,15062.92,Closed,2020,11,November,4
400161,325557,Current,Kolkata,2019-09-23 07:22:12,11584.5,Active,2019,9,September,3
400162,314002,Savings,Chennai,2018-01-01 11:46:54,39227.84,Active,2018,1,January,1
400163,303698,Current,Mumbai,2023-08-31 02:53:31,8618.99,Active,2023,8,August,3
400164,337965,Premium,Kolkata,2018-03-23 02:38:43,7871.99,Active,2018,3,March,1
400165,334923,Savings,Chennai,2022-10-12 02:29:38,17214.9,Active,2022,10,October,4
400166,339221,Salary,Kolkata,2024-09-06 15:17:51,13738.32,Active,2024,9,September,3
400167,320322,Premium,Mumbai,2018-12-11 20:37:09,7452.15,Dormant,2018,12,December,4
400168,303747,Savings,Delhi,2021-05-29 08:34:23,21126.43,Active,2021,5,May,2
400169,307225,Premium,Kolkata,2022-06-14 05:49:26,22075.34,Active,2022,6,June,2
400170,309313,Salary,Bengaluru,2024-08-06 20:55:55,30027.56,Active,2024,8,August,3
400171,310438,Current,Chennai,2023-02-05 00:13:41,5120.61,Active,2023,2,February,1
400172,334477,Salary,Kolkata,2021-01-13 17:01:09,8749.34,Closed,2021,1,January,1
400173,302225,Premium,Bengaluru,2023-09-28 08:05:38,14720.03,Active,2023,9,September,3
400174,319283,Premium,Mumbai,2019-09-29 05:36:52,6341.87,Active,2019,9,September,3
400175,337225,Salary,Bengaluru,2020-10-23 22:00:32,1835.77,Active,2020,10,October,4
400176,302218,Premium,Kolkata,2021-04-23 20:21:22,12503.21,Active,2021,4,April,2
400177,300014,Premium,Chennai,2023-12-29 04:51:47,3814.49,Active,2023,12,December,4
400178,308041,Salary,Delhi,2023-05-13 13:05:53,5588.21,Active,2023,5,May,2
400179,339916,Savings,Mumbai,2024-01-08 00:12:48,4322.03,Active,2024,1,January,1
400180,305770,Current,Mumbai,2018-05-23 01:02:04,22749.26,Active,2018,5,May,2
400181,334463,Current,Kolkata,2024-07-04 03:46:50,8521.08,Active,2024,7,July,3
400182,327097,Premium,Kolkata,2021-01-19 18:48:49,9138.59,Active,2021,1,January,1
400183,321377,Savings,Mumbai,2020-03-30 14:07:21,8726.29,Active,2020,3,March,1
400184,315412,Savings,Bengaluru,2018-08-13 20:23:29,13100.57,Active,2018,8,August,3
400185,317760,Savings,Kolkata,2022-02-22 03:21:42,5431.46,Active,2022,2,February,1
400186,316178,Savings,Bengaluru,2023-11-29 22:00:43,7487.29,Active,2023,11,November,4
400187,300269,Current,Delhi,2020-06-14 17:04:27,10845.97,Dormant,2020,6,June,2
400188,311431,Savings,Kolkata,2021-01-01 02:20:51,6176.97,Active,2021,1,January,1
400189,338385,Salary,Bengaluru,2022-06-25 11:12:44,16217.15,Active,2022,6,June,2
400190,302289,Premium,Mumbai,2020-03-10 20:43:24,34421.71,Active,2020,3,March,1
400191,321830,Current,Bengaluru,2021-12-28 08:08:20,21165.87,Active,2021,12,December,4
400192,305591,Premium,Delhi,2022-07-06 00:17:56,10450.36,Active,2022,7,July,3
400193,300832,Premium,Bengaluru,2019-09-08 02:54:56,21804.71,Active,2019,9,September,3
400194,330263,Savings,Delhi,2020-01-23 23:57:52,6578.5,Active,2020,1,January,1
400195,333508,Premium,Mumbai,2024-01-07 21:44:50,7275.19,Active,2024,1,January,1
400196,302660,Current,Delhi,2019-11-27 17:44:49,17602.19,Active,2019,11,November,4
400197,327046,Salary,Delhi,2023-02-15 13:13:37,20663.82,Active,2023,2,February,1
400198,325759,Salary,Kolkata,2021-04-06 18:38:56,16337.98,Active,2021,4,April,2
400199,304318,Salary,Bengaluru,2018-12-16 16:52:27,64477.46,Active,2018,12,December,4
400200,335129,Salary,Bengaluru,2020-01-12 19:40:56,3386.39,Active,2020,1,January,1
400201,308571,Current,Kolkata,2021-08-01 22:01:55,4338.21,Active,2021,8,August,3
400202,303690,Salary,Bengaluru,2023-06-23 20:12:09,22051.41,Active,2023,6,June,2
400203,314530,Savings,Mumbai,2019-01-16 23:42:14,7398.37,Active,2019,1,January,1
400204,322847,Savings,Mumbai,2018-05-18 13:35:09,19925.56,Active,2018,5,May,2
400205,308463,Salary,Chennai,2022-02-22 06:24:32,8300.35,Active,2022,2,February,1
400206,336635,Current,Delhi,2018-08-29 16:38:18,16930.73,Active,2018,8,August,3
400207,311964,Savings,Kolkata,2018-01-28 22:09:31,7887.42,Active,2018,1,January,1
400208,324172,Current,Delhi,2020-12-26 22:44:28,5681.53,Active,2020,12,December,4
400209,321007,Savings,Delhi,2020-05-09 21:53:22,14360.25,Active,2020,5,May,2
400210,302054,Savings,Chennai,2024-08-11 16:01:25,5340.08,Active,2024,8,August,3
400211,312390,Current,Chennai,2020-09-22 14:40:47,33204.91,Active,2020,9,September,3
400212,330829,Salary,Mumbai,2020-01-12 19:20:32,29895.85,Active,2020,1,January,1
400213,305856,Current,Kolkata,2023-07-05 15:52:32,30340.16,Active,2023,7,July,3
400214,326655,Salary,Kolkata,2020-07-15 20:30:11,16588.52,Active,2020,7,July,3
400215,336211,Salary,Bengaluru,2022-11-29 03:14:57,134641.23,Active,2022,11,November,4
400216,318708,Savings,Chennai,2023-04-04 16:52:50,12512.88,Active,2023,4,April,2
400217,315081,Savings,Chennai,2021-03-20 07:38:49,5590.3,Active,2021,3,March,1
400218,337443,Salary,Kolkata,2019-09-18 18:49:02,12012.74,Active,2019,9,September,3
400219,317857,Savings,Kolkata,2020-02-02 11:46:23,4873.45,Active,2020,2,February,1
400220,333324,Premium,Delhi,2020-10-07 04:09:18,6054.93,Active,2020,10,October,4
400221,314486,Salary,Delhi,2018-12-20 09:06:21,11567.93,Active,2018,12,December,4
400222,305072,Premium,Delhi,2021-01-22 00:42:35,4635.65,Closed,2021,1,January,1
400223,317437,Premium,Delhi,2019-12-13 11:27:21,6749.59,Active,2019,12,December,4
400224,327119,Salary,Delhi,2023-10-10 03:15:21,7827.99,Closed,2023,10,October,4
400225,313181,Current,Delhi,2018-10-19 09:53:33,14635.61,Active,2018,10,October,4
400226,330182,Premium,Bengaluru,2021-06-10 08:24:43,27087.43,Active,2021,6,June,2
400227,339676,Salary,Chennai,2022-01-10 01:31:59,28232.68,Active,2022,1,January,1
400228,335705,Current,Delhi,2021-05-31 08:31:29,94492.76,Active,2021,5,May,2
400229,339803,Salary,Mumbai,2022-09-08 03:36:11,5076.63,Active,2022,9,September,3
400230,306822,Premium,Bengaluru,2022-11-08 07:34:43,8800.42,Active,2022,11,November,4
400231,330073,Current,Chennai,2021-09-12 17:55:31,11709.84,Active,2021,9,September,3
400232,303093,Savings,Chennai,2019-06-04 23:38:13,25564.5,Active,2019,6,June,2
400233,336229,Salary,Mumbai,2024-02-19 13:31:32,93622.5,Active,2024,2,February,1
400234,308822,Savings,Chennai,2018-07-07 16:07:27,1618.61,Active,2018,7,July,3
400235,315624,Current,Kolkata,2019-09-22 17:10:14,27451.72,Active,2019,9,September,3
400236,330660,Savings,Kolkata,2021-05-11 23:26:21,16733.55,Active,2021,5,May,2
400237,333425,Premium,Chennai,2019-09-09 23:29:30,9161.61,Active,2019,9,September,3
400238,308228,Salary,Bengaluru,2024-02-07 06:48:32,31270.89,Active,2024,2,February,1
400239,332906,Current,Kolkata,2018-02-16 04:43:55,4274.96,Active,2018,2,February,1
400240,313318,Current,Delhi,2023-11-18 14:07:23,12043.45,Active,2023,11,November,4
400241,334334,Current,Chennai,2023-12-09 20:15:51,10907.19,Active,2023,12,December,4
400242,332185,Current,Bengaluru,2019-10-21 23:49:23,997.65,Active,2019,10,October,4
400243,310175,Current,Kolkata,2023-03-10 18:01:22,7958.63,Active,2023,3,March,1
400244,314617,Savings,Mumbai,2020-01-09 09:45:20,5835.27,Active,2020,1,January,1
400245,314776,Salary,Kolkata,2019-10-10 22:46:23,12988.98,Active,2019,10,October,4
400246,335477,Savings,Chennai,2021-12-25 23:43:04,31359.29,Closed,2021,12,December,4
400247,302090,Premium,Delhi,2020-02-23 23:41:23,5170.2,Active,2020,2,February,1
400248,302198,Salary,Delhi,2022-02-19 01:33:57,7999.16,Active,2022,2,February,1
400249,314591,Premium,Mumbai,2019-04-09 20:40:00,21517.81,Active,2019,4,April,2
400250,300793,Savings,Bengaluru,2022-01-16 13:06:13,28756.95,Active,2022,1,January,1
400251,322207,Current,Chennai,2021-04-09 23:30:44,11864.61,Closed,2021,4,April,2
400252,333168,Current,Chennai,2021-09-01 07:43:47,9006.4,Dormant,2021,9,September,3
400253,323548,Current,Chennai,2018-05-13 03:48:31,34391.59,Active,2018,5,May,2
400254,307842,Salary,Kolkata,2023-05-02 06:53:04,17406.57,Active,2023,5,May,2
400255,304881,Salary,Bengaluru,2018-01-20 04:14:56,1905.5,Active,2018,1,January,1
400256,331867,Savings,Kolkata,2022-07-03 09:31:36,5182.49,Dormant,2022,7,July,3
400257,323604,Premium,Delhi,2020-08-10 01:22:11,3304.77,Active,2020,8,August,3
400258,336875,Salary,Chennai,2019-12-19 12:06:52,19982.39,Dormant,2019,12,December,4
400259,331880,Salary,Delhi,2019-05-21 14:38:03,5285.76,Active,2019,5,May,2
400260,313053,Premium,Bengaluru,2020-01-09 05:09:32,6313.39,Active,2020,1,January,1
400261,300451,Current,Kolkata,2018-11-17 13:18:48,12653.15,Active,2018,11,November,4
400262,307877,Premium,Kolkata,2019-01-31 17:07:28,1428.73,Active,2019,1,January,1
400263,338783,Salary,Mumbai,2021-08-25 10:24:18,10289.66,Active,2021,8,August,3
400264,326136,Savings,Mumbai,2019-04-18 04:16:08,32937.49,Active,2019,4,April,2
400265,337508,Premium,Bengaluru,2022-12-08 02:19:25,1229.4,Active,2022,12,December,4
400266,339599,Premium,Bengaluru,2020-09-20 15:56:04,7290.16,Closed,2020,9,September,3
400267,334846,Current,Mumbai,2018-12-06 13:12:51,6157.1,Active,2018,12,December,4
400268,337391,Savings,Chennai,2020-09-20 18:58:42,12503.85,Active,2020,9,September,3
400269,327252,Salary,Delhi,2024-12-14 03:13:54,2741.05,Active,2024,12,December,4
400270,308336,Savings,Bengaluru,2021-03-16 14:24:13,9227.65,Active,2021,3,March,1
400271,305798,Current,Kolkata,2020-05-25 18:49:21,2942.67,Active,2020,5,May,2
400272,307022,Salary,Delhi,2021-05-12 02:50:06,1420.29,Active,2021,5,May,2
400273,318970,Premium,Kolkata,2023-06-06 23:40:20,3951.77,Active,2023,6,June,2
400274,314709,Premium,Kolkata,2018-04-06 14:14:15,433.75,Active,2018,4,April,2
400275,338874,Salary,Mumbai,2019-06-22 01:03:08,3206.81,Active,2019,6,June,2
400276,318096,Current,Kolkata,2018-10-26 09:53:36,15465.04,Active,2018,10,October,4
400277,321210,Salary,Delhi,2018-09-24 08:07:01,44565.15,Active,2018,9,September,3
400278,313093,Current,Chennai,2023-03-22 01:42:03,16036.57,Active,2023,3,March,1
400279,310117,Salary,Kolkata,2021-02-22 11:41:26,5714.58,Active,2021,2,February,1
400280,318082,Premium,Bengaluru,2024-07-13 05:52:57,3642.88,Active,2024,7,July,3
400281,321391,Current,Chennai,2019-01-12 20:06:26,140612.77,Active,2019,1,January,1
400282,313323,Current,Mumbai,2021-04-21 11:37:23,4374.6,Active,2021,4,April,2
400283,333101,Current,Mumbai,2019-05-16 09:40:52,25210.55,Active,2019,5,May,2
400284,323118,Savings,Mumbai,2023-12-30 04:08:05,96155.63,Active,2023,12,December,4
400285,309430,Current,Chennai,2018-10-13 00:10:21,6141.44,Active,2018,10,October,4
400286,310872,Savings,Delhi,2023-12-08 08:08:24,5806.35,Active,2023,12,December,4
400287,306071,Premium,Mumbai,2018-08-01 07:26:55,4570.57,Active,2018,8,August,3
400288,316479,Savings,Bengaluru,2022-12-19 18:26:29,56280.26,Dormant,2022,12,December,4
400289,331041,Savings,Chennai,2021-07-24 13:07:22,228152.36,Active,2021,7,July,3
400290,328564,Premium,Kolkata,2023-01-17 08:55:40,1177.05,Dormant,2023,1,January,1
400291,308637,Premium,Mumbai,2018-04-27 17:24:46,7770.85,Active,2018,4,April,2
400292,326744,Savings,Bengaluru,2021-09-04 23:17:10,9953.98,Closed,2021,9,September,3
400293,338400,Premium,Bengaluru,2024-02-07 00:35:32,5835.26,Active,2024,2,February,1
400294,302938,Salary,Kolkata,2023-07-12 21:36:11,2105.9,Active,2023,7,July,3
400295,312104,Premium,Delhi,2024-12-18 22:13:46,15030.33,Active,2024,12,December,4
400296,329768,Premium,Mumbai,2021-06-28 09:22:25,5498.66,Dormant,2021,6,June,2
400297,338271,Salary,Mumbai,2019-01-16 12:49:58,4373.1,Active,2019,1,January,1
400298,336304,Salary,Bengaluru,2022-08-26 18:06:55,21876.25,Active,2022,8,August,3
400299,316285,Current,Mumbai,2024-06-09 17:55:20,15733.51,Active,2024,6,June,2
400300,314511,Premium,Kolkata,2024-01-10 22:26:03,10076.45,Active,2024,1,January,1
400301,338148,Current,Kolkata,2019-04-02 14:49:00,4464.84,Active,2019,4,April,2
400302,319834,Savings,Mumbai,2021-10-28 09:55:28,10571.41,Active,2021,10,October,4
400303,327139,Current,Kolkata,2018-09-02 18:43:16,11354.88,Active,2018,9,September,3
