Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Status,Estimated_Interest
500134,338919,Home,1026906.71,15.81,24,Active,324707.901702
500135,337952,Auto,2817085.08,21.61,120,Active,6087720.85788
500136,315128,Personal,6787033.67,10.71,36,Active,2180673.918171
500137,314209,Personal,1553107.83,11.51,120,Active,1787627.1123300001
500138,305916,Education,4495440.07,17.89,180,Closed,12063513.427845001
500139,338679,Personal,3534961.13,11.33,240,Active,8010221.92058
500140,325647,Home,2830634.61,11.97,48,Active,1355307.851268
500141,332837,Auto,1929200.13,18.0,240,Closed,6945120.4679999985
500142,309027,Business,4989644.76,8.21,60,Active,2048249.1739800002
500143,336830,Home,5476975.62,14.22,24,Rejected,1557651.8663279999
500144,310271,Auto,2220812.5,13.79,36,Active,918750.1312500001
500145,325033,Home,6555890.37,15.32,24,Closed,2008724.8093680001
500146,322863,Education,3503651.84,18.56,60,Active,3251388.90752
500147,331498,Education,6672836.95,8.19,48,Active,2186021.3848200003
500148,323719,Auto,1939354.18,14.49,84,Closed,1967086.944774
500149,325116,Home,1947666.7,8.52,60,Active,829706.0141999999
500150,329186,Personal,3621350.98,12.22,180,Active,6637936.346340001
500151,306460,Home,3345267.01,20.06,84,Active,4697423.935442
500152,308992,Business,3763388.49,14.42,180,Rejected,8140209.30387
500153,310500,Education,2626659.73,18.77,60,Rejected,2465120.156605
500154,309357,Business,7834610.9,11.61,12,Active,909598.32549
500155,300283,Auto,2689619.85,8.59,60,Active,1155191.725575
500156,319441,Auto,2255954.24,16.08,240,Active,7255148.83584
500157,313373,Auto,6019085.22,9.64,48,Active,2320959.260832
500158,303379,Education,1199459.24,12.23,240,Active,2933877.3010400003
500159,323912,Personal,133202.81,15.56,12,Active,20726.357236000003
500161,322726,Home,1033882.71,21.56,180,Active,3343576.6841399996
500162,330589,Education,4220012.27,10.96,48,Active,1850053.3791679998
500163,304935,Education,238893.92,18.18,36,Active,130292.743968
500164,336283,Business,488533.21,9.99,60,Closed,244022.338395
500165,302954,Business,7380854.48,17.49,180,Active,19363671.728279997
500166,301573,Education,6866893.3,19.77,36,Active,4072754.4162299996
500167,306095,Home,4786103.35,16.49,84,Active,5524599.096905
500168,310034,Auto,7807697.07,19.66,120,Rejected,15349932.439620001
500169,329547,Home,5719231.08,7.99,84,Active,3198765.943044
500170,332267,Education,3405608.6,12.2,240,Closed,8309684.984
500171,311941,Personal,3746618.68,18.8,120,Closed,7043643.1184
500172,306512,Education,115669.4,9.43,84,Rejected,76353.37094
500173,324334,Home,7964891.1,8.5,48,Active,2708062.974
500174,336591,Undefined,2501186.27,18.98,24,Closed,949450.308092
500175,319186,Education,406190.09,12.47,120,Active,506519.04223
500176,324677,Business,2792242.64,7.04,180,Active,2948608.2278400003
500177,327021,Auto,1420486.44,16.93,240,Closed,4809767.08584
500178,321224,Auto,6946530.97,15.85,12,Closed,1101025.158745
500179,314191,Auto,4378069.73,17.08,180,Active,11216614.64826
500180,324090,Education,4987663.69,12.46,240,Active,12429257.915480003
500181,312660,Education,55000.35,18.12,12,Active,9966.06342
500182,324586,Education,5855781.22,10.22,12,Active,598460.840684
500183,322580,Personal,2442588.05,13.18,36,Closed,965799.31497
500184,309296,Home,4273729.55,10.12,120,Active,4325014.304599999
500185,301351,Personal,7326194.6,9.98,120,Rejected,7311542.2108
500186,305326,Home,2945563.15,19.57,24,Active,1152893.4169100001
500187,304239,Personal,1213102.57,20.95,36,Active,762434.965245
500188,327218,Auto,5290449.68,17.9,48,Active,3787961.9708799995
500189,336328,Personal,1091769.71,21.46,48,Active,937175.119064
500190,337849,Home,4262501.76,16.4,84,Active,4893352.0204799995
500191,302087,Business,1134884.96,14.41,12,Active,163536.922736
500192,312524,Personal,3048523.92,7.31,36,Active,668541.2956559999
500193,307752,Home,5934067.89,18.81,24,Active,2232396.3402179996
500194,314762,Home,7139026.15,17.62,12,Closed,1257896.4076300003
500195,320290,Auto,6164020.85,21.58,12,Closed,1330195.6994299998
500196,310738,Business,3786168.39,19.66,84,Active,5210524.938317999
500197,302396,Auto,3823434.56,14.21,12,Active,543310.050976
500198,327771,Personal,1021784.44,20.98,48,Defaulted,857481.502048
500199,338658,Auto,6221975.51,11.83,48,Active,2944238.811332
500200,328718,Home,5600836.09,11.79,240,Closed,13206771.500219999
500201,316794,Business,7704429.86,14.98,180,Active,17311853.89542
500202,300963,Auto,654143.05,20.97,48,Rejected,548695.1903400001
500203,312020,Home,7917214.99,16.61,12,Active,1315049.409839
500204,306981,Auto,833161.42,16.37,60,Defaulted,681942.6222700002
500205,310824,Education,5559782.43,21.06,24,Active,2341780.3595159994
500206,310825,Education,1117253.65,14.71,120,Active,1643480.1191500002
500207,313629,Education,1480955.76,14.29,180,Closed,3174428.67156
500208,304988,Business,5207491.14,20.48,60,Closed,5332470.92736
500209,308142,Business,3844820.16,9.02,240,Closed,6936055.56864
500210,325470,Education,530014.16,15.69,48,Closed,332636.886816
500211,318930,Business,1241328.84,15.64,120,Active,1941438.3057600004
500212,317603,Home,3887366.93,20.29,84,Active,5521227.250679
500213,304641,Business,4668777.49,17.59,84,Active,5748665.723437001
500214,331017,Business,3330241.44,9.56,84,Active,2228597.571648
500215,329441,Home,4283436.72,19.4,48,Rejected,3323946.8947199993
500216,326137,Business,3855806.99,21.56,12,Active,831311.987044
500217,336119,Personal,2366133.48,14.97,12,Active,354210.181956
500218,335968,Personal,7815463.51,11.78,48,Active,3682646.4059119993
500219,323626,Personal,6397576.95,10.81,48,Closed,2766312.27318
500220,337202,Education,4261945.81,19.38,180,Rejected,12389476.46967
500221,331334,Auto,2819746.15,13.93,180,Active,5891859.580425001
500222,337754,Home,4765337.56,16.16,24,Active,1540157.099392
500223,338703,Personal,2262648.33,16.9,36,Active,1147162.7033099998
500224,303254,Auto,2144908.03,13.53,120,Active,2902060.5645899996
500225,302303,Undefined,7634351.96,11.11,180,Active,12722647.541339999
500226,310847,Personal,5121058.91,8.31,48,Defaulted,1702239.9816840002
500227,301670,Business,4029880.78,7.65,60,Active,1541429.39835
500228,309672,Personal,7871892.76,11.03,24,Active,1736539.542856
500229,301494,Home,7946462.8,21.53,12,Active,1710873.44084
500230,320891,Auto,1301875.51,13.78,120,Active,1793984.45278
500231,337285,Education,4936454.12,18.35,24,Active,1811678.6620400003
500232,325719,Auto,5573722.71,12.1,240,Closed,13488408.9582
500233,333834,Personal,1810140.1,17.66,240,Active,6393414.833200001
500234,331617,Auto,3401342.88,18.87,84,Active,4492833.810192
500235,329198,Auto,1273967.76,14.66,84,Closed,1307345.7153120001
500236,308473,Auto,4528657.39,13.92,12,Active,630389.1086879999
500237,323523,Education,5385360.9,18.15,120,Active,9774430.0335
500238,323446,Business,6844310.34,12.87,24,Defaulted,1761725.4815159997
500239,319350,Personal,2551810.06,17.33,24,Active,884457.3667959999
500240,331813,Personal,501663.66,7.33,48,Closed,147087.785112
500241,336463,Auto,6132786.86,7.98,36,Closed,1468189.1742840002
500242,328961,Home,7563180.73,20.77,60,Active,7854363.188105001
500243,328648,Education,4180559.97,10.75,84,Closed,3145871.377425
500244,315757,Home,556673.08,21.04,240,Active,2342480.32064
500245,320146,Auto,3957591.97,15.93,240,Closed,12608888.01642
500246,338534,Home,7265198.73,11.88,84,Active,6041739.263868
500247,300034,Home,3155479.05,9.58,12,Active,302294.89298999996
500248,334967,Business,6760518.8,15.05,36,Active,3052374.2381999996
500249,307846,Home,2330843.97,16.75,84,Closed,2732914.5548250005
500250,335796,Personal,4209564.0,15.32,24,Closed,1289810.4096000001
500251,335757,Education,7821056.63,20.9,12,Closed,1634600.83567
500252,324641,Education,5922416.03,15.77,240,Rejected,18679300.15862
500253,314780,Home,905802.33,11.35,12,Active,102808.56445499999
500254,326539,Auto,2529340.01,14.31,24,Rejected,723897.1108619999
500255,304287,Auto,1993239.22,12.45,12,Active,248158.28289
500256,314056,Education,3913557.43,16.97,120,Active,6641306.95871
500257,319764,Home,1988334.69,10.42,60,Closed,1035922.37349
500258,336059,Education,612292.05,7.71,36,Closed,141623.15116500002
500259,322756,Education,3068743.29,13.41,36,Active,1234555.4255670002
500260,324246,Business,6452973.26,18.06,180,Active,17481104.561339997
500261,321000,Home,4784263.81,17.82,24,Defaulted,1705111.6218839998
500262,306552,Business,5898604.39,10.08,12,Active,594579.322512
500263,339020,Home,1751814.78,19.69,36,Closed,1034796.9905460002
500264,311430,Home,5390643.67,18.66,36,Active,3017682.3264659997
500265,319451,Business,265768.5,10.94,12,Active,29075.0739
500266,322546,Auto,3666611.78,17.59,24,Active,1289914.024204
500267,316889,Home,4426654.55,9.91,240,Rejected,8773629.3181
500268,313697,Auto,1705817.09,9.3,240,Active,3172819.7874000007
500269,325317,Personal,6053992.67,20.01,180,Closed,18171058.999005
500270,326422,Education,2132912.88,18.54,84,Active,2768094.3356639994
500271,327291,Business,2755137.15,19.51,48,Closed,2150109.03186
500272,310506,Auto,4627355.24,8.08,180,Active,5608354.55088
500273,304611,Business,5248968.55,17.56,84,Closed,6452032.141659999
500274,326165,Business,7819074.0,16.94,180,Active,19868267.034
500275,327475,Auto,5549819.11,13.04,240,Closed,14473928.23888
500276,325933,Home,1382954.92,15.56,24,Rejected,430375.57110400003
500277,310163,Home,119179.61,9.51,180,Active,170009.71366500002
500278,320440,Business,5974259.81,15.49,84,Active,6477889.911983
500279,325755,Business,3844636.2,16.35,180,Defaulted,9428970.2805
500280,338372,Business,2518635.21,11.5,48,Rejected,1158572.1966000001
500281,314911,Business,5306351.3,17.35,240,Active,18413039.011
500282,327876,Education,2721998.19,16.12,60,Active,2193930.54114
500283,304654,Auto,4679262.02,13.69,120,Active,6405909.705379998
500284,310630,Business,4447732.15,11.32,48,Active,2013933.1175200003
500285,334443,Home,6588477.11,11.21,180,Defaulted,11078524.260465002
500286,311140,Personal,5688272.43,14.57,84,Active,5801469.051357
500287,317343,Home,7183058.36,12.81,60,Active,4600748.87958
500288,338315,Home,7576972.78,21.6,180,Active,24549391.807200003
500289,306320,Personal,3150826.06,19.95,12,Active,628589.79897
500290,339577,Personal,7598238.43,10.72,36,Closed,2443593.479088
500291,310730,Personal,2468159.4,7.8,60,Closed,962582.166
500292,328489,Auto,7250000.34,10.28,48,Active,2981200.1398079996
500293,334117,Education,2761106.83,15.66,36,Closed,1297167.988734
500294,324912,Business,5226815.7,21.1,84,Rejected,7720006.788900001
500295,315057,Home,162069.29,14.17,48,Rejected,91860.873572
500296,306262,Personal,3454808.05,9.2,240,Active,6356846.812
500297,314084,Personal,1290684.83,16.13,84,Active,1457312.2415530002
500298,310210,Personal,4035396.76,11.96,12,Active,482633.45249600004
500299,300352,Home,5519965.61,14.37,36,Rejected,2379657.174471
500300,331606,Personal,591013.71,18.74,60,Rejected,553779.8462699999
500301,333456,Education,2780746.38,7.26,60,Active,1009410.9359399999
500302,316951,Business,6184383.68,10.76,60,Closed,3327198.41984
500303,308060,Auto,4399122.76,17.02,60,Active,3743653.4687599996
500304,313015,Education,2026069.93,7.66,24,Rejected,310393.913276
500305,331480,Personal,7689948.87,21.11,240,Active,32466964.12914
500306,316020,Education,6806152.23,13.56,36,Active,2768742.7271640003
500307,333273,Personal,193000.81,7.05,120,Closed,136065.57104999997
500308,306460,Business,1714458.09,8.49,12,Closed,145557.491841
500309,320230,Personal,2379542.11,17.35,180,Closed,6192758.341275
500310,337076,Personal,2251543.41,21.35,24,Active,961409.0360700001
500311,320846,Education,7643172.2,8.29,48,Rejected,2534475.90152
500312,320073,Auto,2519301.91,21.33,84,Active,3761569.681821
500313,339106,Education,537410.71,10.17,12,Active,54654.669207
500314,309207,Home,5923935.35,8.65,84,Closed,3586942.854425
500315,320052,Education,4695499.72,21.35,60,Active,5012445.9511
500316,331708,Home,1471772.04,13.13,24,Active,386487.337704
500317,317967,Education,5321083.99,16.53,36,Defaulted,2638725.5506410003
500318,314117,Education,7040490.75,17.81,12,Active,1253911.402575
500319,304101,Education,2496612.44,17.78,120,Closed,4438976.91832
500320,315868,Personal,845471.33,7.92,24,Closed,133922.658672
500321,337764,Personal,758547.86,17.33,180,Active,1971845.1620699998
500322,332916,Business,1623427.79,12.46,48,Defaulted,809116.410536
500323,307544,Auto,7634822.75,14.08,48,Active,4299932.1728
500324,310047,Auto,683223.37,16.89,36,Rejected,346189.281579
500325,313133,Auto,1129337.72,14.99,84,Active,1185014.069596
500326,310608,Auto,3565476.98,17.18,12,Active,612548.945164
500327,312133,Personal,6959165.69,17.24,36,Active,3599280.4948680005
500328,312652,Personal,7687656.31,18.92,36,Active,4363513.721556
500329,302410,Home,6147270.79,7.93,24,Closed,974957.1472939999
500330,300167,Auto,7463975.97,9.28,60,Active,3463284.85008
500331,303764,Education,2374407.06,10.35,48,Active,983004.52284
500332,300425,Undefined,338383.6,16.82,84,Active,398412.85064
500333,317032,Education,7643507.87,11.44,60,Active,4372086.501639999
500334,336268,Auto,3234599.51,7.88,240,Active,5097728.82776
500335,324395,Business,5118709.08,16.81,180,Active,12906824.945220001
500336,326469,Personal,3203714.37,8.43,36,Active,810219.364173
500337,306461,Auto,380347.05,11.88,84,Active,316296.60678000003
500338,336358,Personal,2422326.96,13.29,180,Rejected,4828908.794759999
500339,323002,Personal,3569204.33,13.37,240,Active,9544052.378419999
500340,304536,Education,407700.17,11.93,180,Active,729579.4542149999
500341,322726,Auto,3520549.42,10.11,240,Rejected,7118550.92724
500342,339670,Auto,3850735.47,21.66,180,Closed,12511039.542030001
500343,325365,Education,6339029.55,10.86,48,Active,2753674.4365199995
500344,305720,Business,4381545.85,8.36,84,Closed,2564080.6314199995
500345,331120,Home,4358743.18,14.38,84,Closed,4387510.884988001
500346,313175,Auto,6092943.01,10.75,120,Active,6549913.73575
500347,333995,Home,7990386.2,12.76,36,Rejected,3058719.83736
500348,302727,Business,7133676.29,16.99,24,Rejected,2424023.203342
500349,321478,Education,2126142.09,7.1,84,Active,1056692.61873
500350,317468,Business,305398.22,9.77,84,Rejected,208861.84265799995
500351,332714,Personal,6083559.05,18.29,84,Active,7788780.651714998
500352,306876,Business,7975217.43,8.64,12,Closed,689058.7859520001
500354,314610,Education,7389013.96,11.41,180,Active,12646297.39254
500355,334714,Education,3149510.1,14.53,180,Rejected,6864357.262949999
500356,326507,Personal,5593695.6,19.94,36,Active,3346148.70792
500357,311290,Personal,6368643.9,14.12,60,Active,4496262.5934
500358,332877,Personal,3996191.45,13.93,12,Active,556669.468985
500359,313243,Education,6057675.36,10.35,240,Active,12539387.9952
500360,304597,Auto,1174423.4,20.47,48,Active,961617.8799199999
500361,311871,Education,2108320.39,21.33,48,Rejected,1798818.956748
500362,333806,Auto,2955175.63,10.83,84,Closed,2240318.645103
500363,319876,Personal,1566370.24,14.63,60,Active,1145799.8305600001
500364,323348,Education,2817389.86,19.26,12,Closed,542629.287036
500365,312584,Personal,3860354.73,18.2,24,Closed,1405169.12172
500366,334025,Home,2248870.3,13.91,48,Active,1251271.43492
500367,327574,Home,4487230.7,19.33,84,Active,6071671.860169999
500368,310857,Business,5228639.68,19.99,240,Active,20904101.44064
500369,307708,Business,77076.75,8.94,12,Active,6890.66145
500370,327755,Auto,3193715.05,10.68,24,Rejected,682177.5346799999
500371,338014,Auto,2631124.76,15.08,180,Closed,5951604.207119999
500372,308930,Education,372148.19,13.38,12,Active,49793.427822
500373,324144,Education,1005235.63,19.97,48,Active,802982.221244
500374,326734,Education,3889823.67,11.79,24,Active,917220.4213859999
500375,310991,Business,3778356.81,10.95,60,Active,2068650.3534749998
500376,324425,Auto,3681486.79,10.28,36,Active,1135370.5260359999
500377,334477,Education,6185495.27,9.14,240,Rejected,11307085.35356
500378,313026,Auto,4588998.97,20.4,180,Active,14042336.848199999
500379,316489,Business,3366636.78,18.84,84,Defaulted,4439920.585464
500380,338733,Education,6427086.78,14.86,60,Active,4775325.477539999
500381,330594,Education,6962814.13,17.04,24,Active,2372927.055504
500382,335199,Education,6282070.74,20.89,48,Active,5249298.310344
500383,323765,Home,1751426.29,21.14,48,Active,1481006.070824
500384,333349,Education,5078809.84,19.73,120,Active,10020491.81432
500385,305841,Home,1435363.51,9.04,240,Active,2595137.22608
500386,323379,Business,4481991.77,17.32,60,Active,3881404.8728199997
500387,318457,Auto,7404294.96,21.6,120,Active,15993277.1136
500388,326897,Education,6452025.13,19.35,48,Active,4993867.45062
500389,308601,Auto,6365670.77,17.5,120,Active,11139923.847499996
500390,307524,Home,7638613.56,9.58,180,Active,10976687.685719999
500391,325895,Auto,1162248.04,8.53,36,Active,297419.27343599993
500392,332731,Education,3454387.0,10.98,240,Closed,7585833.852
500393,321546,Business,5972645.93,9.77,36,Closed,1750582.5220829998
500394,318063,Business,60877.26,20.92,60,Active,63677.61396000001
500395,313994,Personal,7168605.0,17.49,60,Defaulted,6268945.072499999
500396,306424,Business,3780277.97,21.43,12,Active,810113.568971
500397,328740,Personal,6712131.87,12.16,12,Active,816195.2353920001
500398,324702,Auto,4232835.67,13.19,120,Active,5583110.24873
500399,316036,Personal,2198892.63,7.45,48,Active,655270.00374
500400,319398,Home,459195.17,8.25,240,Closed,757672.0305
500401,302160,Business,1291103.64,7.42,24,Defaulted,191599.780176
500402,306557,Home,6117442.68,13.94,180,Active,12791572.643879998
500403,329578,Home,2058217.75,18.0,36,Active,1111437.585
500404,316911,Home,7362369.24,15.18,12,Active,1117607.650632
500405,330225,Auto,3451736.25,18.06,84,Defaulted,4363684.96725
500406,332096,Education,180434.69,12.48,240,Rejected,450364.98624000006
500408,319743,Education,5441805.48,7.07,84,Active,2693149.532052
500409,333442,Home,4424072.35,18.6,24,Active,1645754.9142
500410,330330,Business,4282868.34,18.46,84,Closed,5534322.468948
500411,310133,Business,1383248.53,12.62,12,Closed,174565.96448599998
500412,328903,Education,1327367.07,19.2,12,Active,254854.47744000002
500413,318070,Personal,5741568.27,9.1,120,Active,5224827.1257
500414,330343,Home,687323.19,18.11,48,Closed,497896.9188359999
500415,301693,Personal,6437276.35,12.67,12,Closed,815602.913545
500416,320864,Personal,4477695.56,11.7,180,Active,7858355.707799999
500417,322658,Personal,95532.76,20.42,120,Active,195077.89592
500418,320977,Education,1702132.18,20.82,180,Active,5315758.79814
500419,317450,Business,4637977.28,18.14,120,Active,8413290.785920002
500420,317283,Auto,7167529.05,15.63,12,Active,1120284.790515
500421,304942,Home,1445566.99,18.43,120,Active,2664179.9625699995
500422,306017,Business,4840808.9,8.4,48,Rejected,1626511.7904000003
500423,317613,Home,1498538.06,14.73,24,Closed,441469.31247600005
500424,337361,Auto,5022315.27,14.58,36,Rejected,2196760.699098
500425,303414,Education,5147624.03,13.11,180,Rejected,10122802.654995
500426,302876,Auto,5081888.58,10.24,120,Active,5203853.905920001
500427,303959,Auto,5982056.18,11.13,36,Rejected,1997408.558502
500428,326088,Business,5465453.09,21.61,180,Defaulted,17716266.191235
500429,331571,Personal,131410.76,13.76,180,Closed,271231.80864
500430,305018,Personal,2591426.69,15.14,12,Active,392342.000866
500431,316812,Auto,4704235.45,20.37,180,Rejected,14373791.417475002
