Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Status
500118,337874.0,Education,1465142.25,16.15,180,Active
500119,306341.0,Education,6666819.04,7.5,12,Active
500120,331372.0,Home,1001351.73,13.65,36,Defaulted
500121,306673.0,Personal,3824678.33,18.17,48,Active
500122,328262.0,Auto,7688265.22,14.49,60,Rejected
500123,300776.0,Home,670771.0,18.63,180,Active
500124,317887.0,Business,1830645.58,17.75,180,Active
500125,320758.0,Education,7570172.08,11.88,84,Active
500126,336902.0,Home,2998343.4,21.95,36,Active
500127,305994.0,Personal,1549667.62,13.83,120,Rejected
500128,300839.0,Home,2537119.49,17.48,36,Defaulted
500129,339603.0,Personal,4128544.8,11.3,120,Active
500130,327360.0,Personal,5846136.51,12.66,12,Closed
500131,304881.0,Education,6816328.19,18.29,84,Defaulted
500132,317959.0,Business,7372679.03,8.82,48,Active
500133,331490.0,Auto,1721115.41,14.14,120,Active
500134,338919.0,Home,1026906.71,15.81,24,Active
500135,337952.0,AUTO,2817085.08,21.61,120,Active
500136,315128.0,Personal,6787033.67,10.71,36,Active
500137,314209.0,Personal,1553107.83,11.51,120,Active
500138,305916.0,Education,4495440.07,17.89,180,Closed
500139,338679.0,Personal,3534961.13,11.33,240,Active
500140,325647.0,Home,2830634.61,11.97,48,Active
500141,332837.0,Auto,1929200.13,18.0,240,Closed
500142,309027.0,Business,4989644.76,8.21,60,Active
500143,336830.0,Home,5476975.62,14.22,24,Rejected
500144,310271.0,Auto,2220812.5,13.79,36,Active
500145,325033.0,Home,6555890.37,15.32,24,Closed
500146,322863.0,Education,3503651.84,18.56,60,Active
500147,331498.0,Education,6672836.95,8.19,48,Active
500148,323719.0,Auto,1939354.18,14.49,84,Closed
500149,325116.0,Home,1947666.7,8.52,60,Active
500150,329186.0,Personal,3621350.98,12.22,180,Active
500151,306460.0,Home,3345267.01,20.06,84,Active
500152,308992.0,Business,3763388.49,14.42,180,Rejected
500153,310500.0,Education,2626659.73,18.77,60,Rejected
500154,309357.0,Business,7834610.9,11.61,12,Active
500155,300283.0,Auto,2689619.85,8.59,60,Active
500156,319441.0,Auto,2255954.24,16.08,240,Active
500157,313373.0,Auto,6019085.22,9.64,48,Active
500158,303379.0,Education,1199459.24,12.23,240,Active
500159,323912.0,Personal,133202.81,15.56,12,Active
500160,,Education,960736.72,12.27,240,Active
500161,322726.0,Home,1033882.71,21.56,180,Active
500162,330589.0,Education,4220012.27,10.96,48,Active
500163,304935.0,Education,238893.92,18.18,36,Active
500164,336283.0,Business,488533.21,9.99,60,Closed
500165,302954.0,Business,7380854.48,17.49,180,Active
500166,301573.0,Education,6866893.3,19.77,36,Active
500167,306095.0,Home,4786103.35,16.49,84,Active
500168,310034.0,Auto,7807697.07,19.66,120,Rejected
500169,329547.0,Home,5719231.08,7.99,84,Active
500170,332267.0,Education,3405608.6,12.2,240,Closed
500171,311941.0,Personal,3746618.68,18.8,120,Closed
500172,306512.0,Education,115669.4,9.43,84,Rejected
500173,324334.0,Home,7964891.1,8.5,48,Active
500174,336591.0,,2501186.27,18.98,24,Closed
500175,319186.0,Education,406190.09,12.47,120,Active
500176,324677.0,Business,2792242.64,7.04,180,Active
500177,327021.0,Auto,1420486.44,16.93,240,Closed
500178,321224.0,Auto,6946530.97,15.85,12,Closed
500179,314191.0,Auto,4378069.73,17.08,180,Active
500180,324090.0,Education,4987663.69,12.46,240,Active
500181,312660.0,Education,55000.35,18.12,12,Active
500182,324586.0,Education,5855781.22,10.22,12,Active
500183,322580.0,Personal,2442588.05,13.18,36,Closed
500184,309296.0,Home,4273729.55,10.12,120,Active
500185,301351.0,Personal,7326194.6,9.98,120,Rejected
500186,305326.0,Home,2945563.15,19.57,24,Active
500187,304239.0,Personal,1213102.57,20.95,36,Active
500188,327218.0,Auto,5290449.68,17.9,48,Active
500189,336328.0,Personal,1091769.71,21.46,48,Active
500190,337849.0,Home,4262501.76,16.4,84,Active
500191,302087.0,Business,1134884.96,14.41,12,Active
500192,312524.0,Personal,3048523.92,7.31,36,Active
500193,307752.0,Home,5934067.89,18.81,24,Active
500194,314762.0,Home,7139026.15,17.62,12,Closed
500195,320290.0,Auto,6164020.85,21.58,12,Closed
500196,310738.0,Business,3786168.39,19.66,84,Active
500197,302396.0,Auto,3823434.56,14.21,12,Active
500198,327771.0,Personal,1021784.44,20.98,48,Defaulted
500199,338658.0,Auto,6221975.51,11.83,48,ACTIVE 
500200,328718.0,Home,5600836.09,11.79,240,Closed
500201,316794.0,Business,7704429.86,14.98,180,Active
500202,300963.0,Auto,654143.05,20.97,48,Rejected
500203,312020.0,Home,7917214.99,16.61,12,Active
500204,306981.0,Auto,833161.42,16.37,60,Defaulted
500205,310824.0,Education,5559782.43,21.06,24,Active
500206,310825.0,Education,1117253.65,14.71,120,Active
500207,313629.0,Education,1480955.76,14.29,180,Closed
500208,304988.0,Business,5207491.14,20.48,60,Closed
500209,308142.0,Business,3844820.16,9.02,240,Closed
500210,325470.0,Education,530014.16,15.69,48,Closed 
500211,318930.0,Business,1241328.84,15.64,120,Active
500212,317603.0,Home,3887366.93,20.29,84,Active
500213,304641.0,Business ,4668777.49,17.59,84,Active
500214,331017.0,Business,3330241.44,9.56,84,Active
500215,329441.0,Home,4283436.72,19.4,48,Rejected
500216,326137.0,Business,3855806.99,21.56,12,Active
500217,336119.0,Personal,2366133.48,14.97,12,Active
500218,335968.0,Personal,7815463.51,11.78,48,Active
500219,323626.0,Personal,6397576.95,10.81,48,Closed
500220,337202.0,Education,4261945.81,19.38,180,Rejected
500221,331334.0,Auto,2819746.15,13.93,180,Active
500222,337754.0,Home,4765337.56,16.16,24,Active
500223,338703.0,Personal,2262648.33,16.9,36,Active
500224,303254.0,Auto,2144908.03,13.53,120,Active
500225,302303.0,,7634351.96,11.11,180,Active
500226,310847.0,Personal,5121058.91,8.31,48,Defaulted
500227,301670.0,Business,4029880.78,7.65,60,Active
500228,309672.0,Personal,7871892.76,11.03,24,Active
500229,301494.0,Home,7946462.8,21.53,12,Active
500230,320891.0,Auto,1301875.51,13.78,120,Active
500231,337285.0,Education,4936454.12,18.35,24,Active
500232,325719.0,Auto,5573722.71,12.1,240,Closed
500233,333834.0,Personal,1810140.1,17.66,240,Active
500234,331617.0,Auto,3401342.88,18.87,84,Active
500235,329198.0,Auto,1273967.76,14.66,84,Closed
500236,308473.0,Auto,4528657.39,13.92,12,Active
500237,323523.0,Education,5385360.9,18.15,120,Active
500238,323446.0,Business,6844310.34,12.87,24,Defaulted
500239,319350.0,Personal,2551810.06,17.33,24,Active
500240,331813.0,Personal,501663.66,7.33,48,Closed
500241,336463.0,Auto,6132786.86,7.98,36,Closed
500242,328961.0,Home,7563180.73,20.77,60,Active
500243,328648.0,Education,4180559.97,10.75,84,Closed
500244,315757.0,Home,556673.08,21.04,240,Active
500245,320146.0,Auto,3957591.97,15.93,240,Closed
500246,338534.0,Home,7265198.73,11.88,84,Active
500247,300034.0,Home,3155479.05,9.58,12,Active
500248,334967.0,Business,6760518.8,15.05,36,Active
500249,307846.0,Home,2330843.97,16.75,84,Closed
500250,335796.0,Personal,4209564.0,15.32,24,Closed
500251,335757.0,Education,7821056.63,20.9,12,Closed
500252,324641.0,Education,5922416.03,15.77,240,Rejected
500253,314780.0,Home,905802.33,11.35,12,Active
500254,326539.0,Auto,2529340.01,14.31,24,Rejected 
500255,304287.0,Auto,1993239.22,12.45,12,Active
500256,314056.0,Education,3913557.43,16.97,120,Active
500257,319764.0,Home,1988334.69,10.42,60,Closed
500258,336059.0,Education,612292.05,7.71,36,Closed
500259,322756.0,Education,3068743.29,13.41,36,Active
500260,324246.0,Business,6452973.26,18.06,180,Active
500261,321000.0,Home,4784263.81,17.82,24,Defaulted
500262,306552.0,Business,5898604.39,10.08,12,Active
500263,339020.0,Home,1751814.78,19.69,36,Closed
500264,311430.0,Home,5390643.67,18.66,36,Active
500265,319451.0,Business,265768.5,10.94,12,Active
500266,322546.0,Auto,3666611.78,17.59,24,Active
500267,316889.0,Home,4426654.55,9.91,240,Rejected
500268,313697.0,Auto,1705817.09,9.3,240,Active
500269,325317.0,Personal,6053992.67,20.01,180,Closed
500270,326422.0,Education,2132912.88,18.54,84,Active
500271,327291.0,Business,2755137.15,19.51,48,Closed
500272,310506.0,Auto,4627355.24,8.08,180,Active
500273,304611.0,Business,5248968.55,17.56,84,Closed
500274,326165.0,Business,7819074.0,16.94,180,Active
500275,327475.0,Auto,5549819.11,13.04,240,Closed
500276,325933.0,Home,1382954.92,15.56,24,Rejected
500277,310163.0,Home,119179.61,9.51,180,Active
500278,320440.0,Business,5974259.81,15.49,84,Active
500279,325755.0,Business,3844636.2,16.35,180,Defaulted
500280,338372.0,Business,2518635.21,11.5,48,Rejected
500281,314911.0,Business,5306351.3,17.35,240,Active
500282,327876.0,Education,2721998.19,16.12,60,Active
500283,304654.0,Auto,4679262.02,13.69,120,Active
500284,310630.0,Business,4447732.15,11.32,48,Active
500285,334443.0,Home,6588477.11,11.21,180,Defaulted
500286,311140.0,Personal,5688272.43,14.57,84,Active
500287,317343.0,Home,7183058.36,12.81,60,Active
500288,338315.0,Home,7576972.78,21.6,180,Active
500289,306320.0,Personal,3150826.06,19.95,12,Active
500290,339577.0,Personal,7598238.43,10.72,36,Closed
500291,310730.0,Personal,2468159.4,7.8,60,Closed
500292,328489.0,Auto,7250000.34,10.28,48,Active
500293,334117.0,Education,2761106.83,15.66,36,Closed
500294,324912.0,Business,5226815.7,21.1,84,Rejected
500295,315057.0,Home,162069.29,14.17,48,Rejected
500296,306262.0,Personal,3454808.05,9.2,240,Active
500297,314084.0,Personal,1290684.83,16.13,84,Active
500298,310210.0,Personal,4035396.76,11.96,12,Active
500299,300352.0,Home,5519965.61,14.37,36,Rejected
500300,331606.0,Personal,591013.71,18.74,60,Rejected
500301,333456.0,Education,2780746.38,7.26,60,Active
500302,316951.0,Business,6184383.68,10.76,60,Closed
500303,308060.0,Auto,4399122.76,17.02,60,Active
500304,313015.0,Education,2026069.93,7.66,24,Rejected
500305,331480.0,Personal,7689948.87,21.11,240,Active
500306,316020.0,Education,6806152.23,13.56,36,Active
500307,333273.0,Personal,193000.81,7.05,120,Closed
500308,306460.0,Business,1714458.09,8.49,12,Closed
500309,320230.0,Personal,2379542.11,17.35,180,Closed
500310,337076.0,Personal,2251543.41,21.35,24,Active
500311,320846.0,Education,7643172.2,8.29,48,Rejected
500312,320073.0,Auto,2519301.91,21.33,84,Active
500313,339106.0,Education,537410.71,10.17,12,Active
500314,309207.0,Home,5923935.35,8.65,84,Closed
500315,320052.0,Education,4695499.72,21.35,60,Active
500316,331708.0,Home,1471772.04,13.13,24,Active
500317,317967.0,Education,5321083.99,16.53,36,Defaulted
500318,314117.0,Education,7040490.75,17.81,12,Active
500319,304101.0,Education,2496612.44,17.78,120,Closed
500320,315868.0,Personal,845471.33,7.92,24,Closed
500321,337764.0,Personal,758547.86,17.33,180,Active
500322,332916.0,Business,1623427.79,12.46,48,Defaulted
500323,307544.0,Auto,7634822.75,14.08,48,Active
500324,310047.0,Auto,683223.37,16.89,36,Rejected
500325,313133.0,Auto,1129337.72,14.99,84,Active
500326,310608.0,Auto,3565476.98,17.18,12,Active
500327,312133.0,Personal,6959165.69,17.24,36,Active
500328,312652.0,Personal,7687656.31,18.92,36,Active
500329,302410.0,Home,6147270.79,7.93,24,Closed
500330,300167.0,Auto,7463975.97,9.28,60,Active
500331,303764.0,Education,2374407.06,10.35,48,Active
500332,300425.0,,338383.6,16.82,84,Active
500333,317032.0,Education,7643507.87,11.44,60,Active
500334,336268.0,Auto,3234599.51,7.88,240,Active
500335,324395.0,Business,5118709.08,16.81,180,Active
500336,326469.0,Personal,3203714.37,8.43,36,Active
500337,306461.0,Auto,380347.05,11.88,84,Active
500338,336358.0,Personal,2422326.96,13.29,180,Rejected
500339,323002.0,Personal,3569204.33,13.37,240,Active
500340,304536.0,Education,407700.17,11.93,180,Active
500341,322726.0,Auto,3520549.42,10.11,240,Rejected
500342,339670.0,Auto,3850735.47,21.66,180,Closed
500343,325365.0,Education,6339029.55,10.86,48,Active
500344,305720.0,Business,4381545.85,8.36,84,Closed
500345,331120.0,Home,4358743.18,14.38,84,Closed
500346,313175.0,Auto,6092943.01,10.75,120,Active
500347,333995.0,Home,7990386.2,12.76,36,Rejected
500348,302727.0,Business,7133676.29,16.99,24,Rejected
500349,321478.0,Education,2126142.09,7.1,84,Active
500350,317468.0,Business,305398.22,9.77,84,Rejected
500351,332714.0,Personal,6083559.05,18.29,84,Active
500352,306876.0,Business,7975217.43,8.64,12,Closed
500353,,Business,2227677.08,10.72,180,Active
500354,314610.0,Education,7389013.96,11.41,180,Active
500355,334714.0,Education,3149510.1,14.53,180,Rejected
500356,326507.0,Personal,5593695.6,19.94,36,Active
500357,311290.0,Personal,6368643.9,14.12,60,Active
500358,332877.0,Personal,3996191.45,13.93,12,Active
500359,313243.0,Education,6057675.36,10.35,240,Active
500360,304597.0,Auto,1174423.4,20.47,48,Active
500361,311871.0,Education,2108320.39,21.33,48,Rejected
500362,333806.0,Auto,2955175.63,10.83,84,Closed
500363,319876.0,Personal,1566370.24,14.63,60,Active
500364,323348.0,Education,2817389.86,19.26,12,Closed
500365,312584.0,Personal,3860354.73,18.2,24,Closed
500366,334025.0,Home,2248870.3,13.91,48,Active
500367,327574.0,Home,4487230.7,19.33,84,Active
500368,310857.0,Business,5228639.68,19.99,240,Active
500369,307708.0,Business,77076.75,8.94,12,Active
500370,327755.0,Auto,3193715.05,10.68,24,Rejected
500371,338014.0,Auto,2631124.76,15.08,180,Closed
500372,308930.0,Education,372148.19,13.38,12,Active
500373,324144.0,Education,1005235.63,19.97,48,Active
500374,326734.0,Education,3889823.67,11.79,24,Active
500375,310991.0,Business,3778356.81,10.95,60,Active
500376,324425.0,Auto,3681486.79,10.28,36,Active
500377,334477.0,Education,6185495.27,9.14,240,Rejected
500378,313026.0,Auto,4588998.97,20.4,180,Active
500379,316489.0,Business,3366636.78,18.84,84,Defaulted
500380,338733.0,Education,6427086.78,14.86,60,Active
500381,330594.0,Education,6962814.13,17.04,24,Active
500382,335199.0,Education,6282070.74,20.89,48,Active
500383,323765.0,Home,1751426.29,21.14,48,Active
500384,333349.0,Education,5078809.84,19.73,120,Active
500385,305841.0,Home,1435363.51,9.04,240,Active
500386,323379.0,Business,4481991.77,17.32,60,Active
500387,318457.0,Auto,7404294.96,21.6,120,Active
500388,326897.0,Education,6452025.13,19.35,48,Active
500389,308601.0,Auto,6365670.77,17.5,120,Active
500390,307524.0,Home,7638613.56,9.58,180,Active
500391,325895.0,Auto,1162248.04,8.53,36,Active
500392,332731.0,Education,3454387.0,10.98,240,Closed
500393,321546.0,Business,5972645.93,9.77,36,Closed
500394,318063.0,Business,60877.26,20.92,60,Active
500395,313994.0,Personal,7168605.0,17.49,60,Defaulted
500396,306424.0,Business,3780277.97,21.43,12,Active
500397,328740.0,Personal,6712131.87,12.16,12,Active
500398,324702.0,Auto,4232835.67,13.19,120,Active
500399,316036.0,Personal,2198892.63,7.45,48,Active
500400,319398.0,Home,459195.17,8.25,240,Closed
500401,302160.0,Business,1291103.64,7.42,24,Defaulted
500402,306557.0,Home,6117442.68,13.94,180,Active
500403,329578.0,Home,2058217.75,18.0,36,Active
500404,316911.0,Home,7362369.24,15.18,12,Active
500405,330225.0,Auto,3451736.25,18.06,84,Defaulted 
500406,332096.0,Education,180434.69,12.48,240,Rejected
500407,,Home,5813805.12,13.55,180,Active
500408,319743.0,Education,5441805.48,7.07,84,Active
500409,333442.0,Home,4424072.35,18.6,24,Active
500410,330330.0,Business,4282868.34,18.46,84,Closed
500411,310133.0,Business,1383248.53,12.62,12,Closed
500412,328903.0,Education,1327367.07,19.2,12,Active
500413,318070.0,Personal,5741568.27,9.1,120,Active
500414,330343.0,Home,687323.19,18.11,48,Closed
500415,301693.0,Personal,6437276.35,12.67,12,Closed
500416,320864.0,Personal,4477695.56,11.7,180,Active
500417,322658.0,Personal,95532.76,20.42,120,Active
500418,320977.0,Education,1702132.18,20.82,180,Active
500419,317450.0,Business,4637977.28,18.14,120,Active
500420,317283.0,Auto,7167529.05,15.63,12,Active
500421,304942.0,Home,1445566.99,18.43,120,Active
500422,306017.0,Business,4840808.9,8.4,48,Rejected
500423,317613.0,Home,1498538.06,14.73,24,Closed
500424,337361.0,Auto,5022315.27,14.58,36,Rejected
500425,303414.0,Education,5147624.03,13.11,180,Rejected
500426,302876.0,Auto,5081888.58,10.24,120,Active
500427,303959.0,Auto,5982056.18,11.13,36,Rejected
500428,326088.0,Business,5465453.09,21.61,180,Defaulted
500429,331571.0,Personal,131410.76,13.76,180,Closed
500430,305018.0,Personal,2591426.69,15.14,12,Active
500431,316812.0,Auto,4704235.45,20.37,180,Rejected
500432,,Business,1752582.51,14.4,48,Closed
500433,303990.0,Business,2947285.66,8.84,36,Closed
500434,332815.0,Home,5752306.95,12.56,24,Active
500435,335378.0,Business,5410060.99,20.38,48,Active
500436,311447.0,Home,2352168.81,17.04,60,Rejected
500437,321454.0,Home,4047649.51,15.22,84,Active
500438,336270.0,Business,923659.68,17.33,120,Active
500439,316301.0,Business,3343548.15,19.75,48,Active
500440,304583.0,Business,5491952.55,14.09,12,Active
500441,328156.0,Business,5712661.75,9.82,12,Active
500442,338244.0,Business,1438213.19,12.27,180,Closed
500443,303911.0,Auto,3680124.36,14.73,48,Closed
500444,322783.0,Home,6906009.14,7.11,84,Active
500445,338337.0,Home,4456141.25,8.55,84,Active
500446,308936.0,Education,4173440.51,16.37,240,Closed
500447,305375.0,Education,2141885.82,16.65,12,Closed
500448,334978.0,Auto,5597435.63,14.55,12,Active
500449,304514.0,Personal,632548.26,19.52,240,Active
500450,321487.0,Education,5335427.13,16.79,60,Active
500451,321453.0,Auto,3072363.15,8.81,12,Active
500452,308925.0,Education,1913756.53,21.75,240,Closed
500453,310119.0,Home,7757432.01,9.76,240,Defaulted
500454,339677.0,Auto,1026950.53,14.25,84,Closed
500455,333393.0,Home,2527936.33,17.09,84,Active
500456,332669.0,Auto,2626787.12,16.72,48,Active
500457,334517.0,Education,6279114.48,10.08,24,Closed
500458,310477.0,Business,6002502.37,15.8,12,Active
500459,328999.0,Education,3799552.31,12.97,36,Active
500460,310448.0,Home,7998835.97,10.39,84,Active
500461,306950.0,Personal,3296818.34,11.19,120,Active
500462,310690.0,Home,7310568.48,19.59,48,Closed
500463,338484.0,Auto,7080371.25,18.67,120,Closed
500464,314548.0,,6922577.19,13.51,24,Rejected
500465,329665.0,Education,4025515.46,17.19,48,Closed
500466,314835.0,Personal,671236.15,10.2,120,Active
500467,309010.0,Business,3012221.82,16.94,240,Closed
500468,308812.0,Personal,6326345.56,11.46,120,Active
500469,313333.0,Business,1921526.31,19.28,180,Active
500470,310283.0,Auto,6243070.4,11.87,24,Closed
500471,315265.0,Personal,,16.37,120,Active
500472,321403.0,Home,7629247.77,11.35,240,Active
500473,333244.0,Education,3733996.08,12.82,120,Active
500474,301262.0,Business,7516890.98,7.43,240,Rejected
500475,315412.0,Education,6478081.03,20.6,24,Active
500476,336596.0,Business,6109466.4,14.48,84,Rejected
500477,305459.0,Home,1863595.07,20.91,84,Active
500478,317397.0,Education,1735481.72,20.88,24,Closed
500479,300321.0,Business,91312.47,15.71,36,Defaulted
500480,336345.0,Education,4628571.89,8.73,84,Active
500481,321045.0,Home,4404725.24,14.51,24,Active
500482,337036.0,Business,7999716.49,10.62,48,Active
500483,323753.0,Personal,1271772.8,10.22,120,Defaulted
500484,332442.0,Business,,21.93,84,Active
500485,303706.0,Personal,1474027.12,7.21,60,Active
500486,325411.0,Personal,4243543.39,18.88,60,Closed
500487,315938.0,Business,4225302.18,12.79,48,Rejected
500488,302605.0,Personal,5134628.36,7.41,12,Defaulted
500489,337740.0,Auto,6414162.42,16.59,120,Active
500490,330593.0,Auto,7793209.77,20.76,36,Active
500491,332773.0,Business,6117921.36,8.29,240,Active
500492,320411.0,Home,3562203.14,21.9,120,Active
500493,308748.0,Auto,840565.53,20.81,12,Active
500494,338601.0,Auto,3146946.71,12.38,84,Active
500495,323174.0,Business,7858755.54,19.65,60,Active
500496,332061.0,Auto,1770739.39,15.0,120,Closed
500497,331223.0,Auto,4612146.64,19.81,60,Active
500498,334802.0,Personal,6444043.43,9.73,24,Active
500499,335481.0,Personal,2304008.78,11.61,84,Active
500500,309366.0,Home,5827406.7,8.24,240,Active
500501,317331.0,Auto,6243114.77,18.7,24,Active
500502,309493.0,Auto,283794.07,12.01,120,Active
500503,312528.0,Business,4327257.68,9.36,240,Active
500504,335436.0,Education,7546441.39,21.68,12,Active
500505,322970.0,Home,1151673.21,9.73,48,Closed 
500506,324099.0,Business,2307712.66,15.03,84,Rejected
500507,311639.0,Education,6767682.71,20.87,240,Active
500508,337302.0,Home,4465521.8,19.5,36,Active
500509,310605.0,Education,1543461.7,12.09,240,Active
500510,318485.0,Home,1423645.29,11.14,12,Active
500511,316282.0,Education,2031156.96,19.09,240,Defaulted
500512,316156.0,Home,7350687.94,7.96,84,Active
500513,300491.0,Personal,4460640.22,12.62,60,CLOSED
500514,313331.0,Auto,3355342.06,15.11,180,Closed
500515,328850.0,Education,5834807.52,19.86,240,Active
500516,328352.0,Personal,765991.64,20.0,180,Rejected
