Customer_ID,Customer_Name,Age,Occupation,City,Annual_Income,Credit_Score
300140,Client_139,18.0,Self Employed,Delhi,53177.77,780
300141,Client_140,20.0,Retired,Bengaluru,181546.79,729
300142,Client_141,33.0,Student,Mumbai,14824.33,795
300143,Client_142,24.0,Retired,Chennai,28754.26,621
300144,Client_143,44.0,Salaried,Mumbai,103429.98,594
300145,Client_144,44.0,Business,Jaipur,64437.55,800
300146,Client_145,39.0,Retired,Pune,70075.6,688
300147,Client_146,22.0,Retired,Jaipur,45215.92,678
300148,Client_147,55.0,Student,Bengaluru,157335.31,763
300149,Client_148,46.0,Student,Mumbai,34577.0,783
300150,Client_149,44.0,Business,Mumbai,38166.99,708
300151,Client_150,51.0,Student,Jaipur,105632.93,758
300152,Client_151,47.0,Self Employed,Mumbai,105005.45,682
300153,Client_152,19.0,Business,Pune,142645.47,746
300154,Client_153,59.0,Student,Bengaluru,39466.39,690
300155,Client_154,59.0,Business,Bengaluru,87345.51,743
300156,Client_155,44.0,Salaried,Kolkata,180500.72,777
300157,Client_156,49.0,Self Employed,Jaipur,82518.06,610
300158,Client_157,42.0,Self Employed,Kolkata,36297.87,756
300159,Client_158,62.0,Business,Jaipur,41177.12,678
300160,Client_159,58.0,Retired,Mumbai,155478.14,709
300161,Client_160,26.0,Student,Jaipur,41521.14,726
300162,Client_161,24.0,Self Employed,Mumbai,22852.36,810
300163,Client_162,63.0,Retired,Bengaluru,59432.36,728
300164,Client_163,65.0,Business,Chennai,68257.05,764
300165,Client_164,32.0,Self Employed,Mumbai,19538.55,671
300166,Client_165,41.0,Business,Pune,47110.98,643
300167,Client_166,22.0,Student,Jaipur,70687.93,751
300168,Client_167,32.0,Retired,Chennai,33949.86,794
300169,Client_168,72.0,Student,Jaipur,147611.49,806
300170,Client_169,31.0,Self Employed,Kolkata,44485.01,688
300171,Client_170,55.0,Business,Chennai,38247.9,873
300172,Client_171,75.0,Business,Kolkata,74659.05,805
300173,Client_172,66.0,Self Employed,Chennai,48887.26,838
300174,Client_173,29.0,Retired,Delhi,88406.09,773
300175,Client_174,33.0,Salaried,Bengaluru,153977.4,679
300176,Client_175,64.0,Salaried,Delhi,77157.82,735
300177,Client_176,60.0,Self Employed,Mumbai,76913.77,679
300178,Client_177,73.0,Business,Delhi,35048.12,772
300179,Client_178,30.0,Retired,Chennai,180475.93,727
300180,Client_179,59.0,Retired,Mumbai,26771.65,632
300181,Client_180,47.0,Student,Chennai,30738.28,783
300182,Client_181,21.0,Student,Chennai,39185.39,772
300183,Client_182,33.0,Business,Jaipur,99278.54,803
300184,Client_183,57.0,Student,Bengaluru,20549.16,841
300185,Client_184,23.0,Salaried,Chennai,110996.78,626
300186,Client_185,44.0,Salaried,Bengaluru,58819.32,698
300187,Client_186,36.0,Self Employed,Mumbai,85367.2,747
300188,Client_187,35.0,Business,Delhi,50118.99,670
300189,Client_188,53.0,Business,Kolkata,70442.04,681
300190,Client_189,46.0,Salaried,Bengaluru,62530.49,799
300191,Client_190,22.0,Business,Kolkata,37680.67,730
300192,Client_191,62.0,Self Employed,Jaipur,170658.22,704
300193,Client_192,34.0,Self Employed,Pune,51558.01,748
300194,Client_193,40.0,Retired,Jaipur,41310.41,776
300195,Client_194,33.0,Salaried,Delhi,77653.99,776
300196,Client_195,50.0,Self Employed,Jaipur,105473.78,788
300197,Client_196,74.0,Retired,Delhi,94999.84,672
300198,Client_197,52.0,Salaried,Bengaluru,73707.28,772
300199,Client_198,75.0,Student,Jaipur,62880.95,786
300200,Client_199,32.0,Salaried,Kolkata,54465.23,695
300201,Client_200,51.0,Self Employed,Delhi,76202.2,669
300202,Client_201,18.0,Salaried,Delhi,67966.31,691
300203,Client_202,39.0,Salaried,Pune,72461.46,642
300204,CLIENT_203,39.0,Student,Jaipur,132714.43,683
300205,Client_204,57.0,Salaried,Delhi,59059.48,671
300206,Client_205,46.0,Business,Mumbai,42657.67,717
300207,Client_206,62.0,Salaried,Chennai,36416.83,750
300208,Client_207,52.0,Self Employed,Delhi,26411.3,648
300209,Client_208,39.0,Business,Kolkata,19754.71,737
300210,Client_209,50.0,Retired,Pune,120634.95,714
300211,Client_210,71.0,Retired,Bengaluru,103665.04,689
300212,Client_211,40.0,Salaried,Kolkata,134259.09,746
300213,Client_212,49.0,Retired,Pune,59420.21,732
300214,Client_213,57.0,Student,Mumbai,75775.86,765
300215,Client_214,74.0,Business,Pune,93813.36,642
300216,Client_215,53.0,Salaried,Bengaluru,59917.5,814
300217,Client_216,22.0,Business,Chennai,53017.56,688
300218,Client_217,33.0,Self Employed,Jaipur,51582.2,724
300219,Client_218,73.0,Retired,Jaipur,109523.05,900
300220,Client_219,61.0,Business,Delhi,106841.82,812
300221,Client_220,32.0,Business ,Pune,32178.52,690
300222,Client_221,39.0,Retired,Pune,65230.84,803
300223,Client_222,36.0,Student,Mumbai,45940.04,720
300224,Client_223,62.0,Retired,Bengaluru,35402.3,662
300225,Client_224,42.0,Self Employed,Pune,139036.37,786
300226,Client_225,19.0,Self Employed,Pune,68639.62,805
300227,Client_226,73.0,Salaried,Pune,166350.61,688
300228,,25.0,Self Employed,Bengaluru,62035.23,858
300229,Client_228,66.0,Business,Chennai,93904.5,661
300230,,66.0,Retired,Mumbai,68795.64,654
300231,Client_230,49.0,Business,Bengaluru,80493.94,599
300232,Client_231,69.0,Self Employed,Pune,45353.68,726
300233,Client_232,31.0,Retired,Kolkata,76934.9,715
300234,Client_233,23.0,Self Employed,Delhi,34730.61,702
300235,Client_234,51.0,Retired,Pune,33376.46,709
300236,Client_235,68.0,Retired,Delhi,75757.39,701
300237,Client_236,39.0,Business,Pune,77365.79,588
300238,Client_237,60.0,Student,Kolkata,90377.25,644
300239,Client_238,65.0,Salaried,Kolkata,61639.31,696
300240,Client_239,50.0,Self Employed,Mumbai,100573.98,729
300241,Client_240,48.0,Self Employed,Delhi,276676.41,739
300242,Client_241,52.0,Retired,Kolkata,82945.8,678
300243,Client_242,24.0,Salaried,Bengaluru,136098.09,852
300244,Client_243,48.0,Self Employed,Jaipur,122818.54,738
300245,Client_244,63.0,Salaried,Jaipur,115953.1,665
300246,Client_245,59.0,Student,Bengaluru,113382.81,640
300247,Client_246,21.0,Business,Jaipur,48943.5,780
300248,Client_247,47.0,Business,Kolkata,60603.0,719
300249,Client_248,57.0,Salaried,Pune,110274.4,676
300250,Client_249,64.0,Business,Jaipur,104498.45,684
300251,Client_250,49.0,Self Employed,Delhi,91625.91,754
300252,Client_251,22.0,Self Employed,Delhi,61884.95,634
300253,Client_252,58.0,Retired,Delhi,30095.05,729
300254,Client_253,61.0,Salaried,Chennai,29320.21,661
300255,Client_254,33.0,Salaried,Jaipur,39222.1,659
300256,Client_255,42.0,Self Employed,Chennai,52226.23,652
300257,Client_256,38.0,Business,Chennai,106642.76,688
300258,Client_257,46.0,Self Employed,Kolkata,75680.32,643
300259,Client_258,22.0,Self Employed,Mumbai,29478.55,721
300260,Client_259,59.0,Self Employed,Bengaluru,74262.89,639
300261,Client_260,26.0,Retired,Chennai,53283.74,794
300262,Client_261,37.0,Self Employed,Mumbai,173465.21,817
300263,Client_262,72.0,Student,Kolkata,74082.72,749
300264,Client_263,65.0,Self Employed,Kolkata,50336.11,735
300265,CLIENT_264,30.0,Salaried,Delhi,80965.43,709
300266,Client_265,56.0,Student,Kolkata,65156.81,641
300267,Client_266,22.0,Salaried,Bengaluru,73751.31,772
300268,Client_267,54.0,Student,Delhi,279275.03,695
300269,Client_268,32.0,Self Employed,Kolkata,61722.93,799
300270,Client_269,56.0,Student,Kolkata,46920.07,729
300271,Client_270,66.0,Business,Mumbai,122229.36,716
300272,Client_271,74.0,Student,Mumbai,150251.48,722
300273,Client_272,53.0,Retired,Mumbai,42553.99,749
300274,Client_273,50.0,Salaried,Delhi,141673.62,812
300275,Client_274,27.0,Student,Kolkata,108077.34,816
300276,Client_275,43.0,,Mumbai,42717.04,757
300277,Client_276,26.0,Retired,Kolkata,71550.51,884
300278,Client_277,28.0,Self Employed,Mumbai,102623.9,746
300279,Client_278,59.0,Retired,Jaipur,58026.44,633
300280,Client_279,53.0,Student,Kolkata,96376.14,644
300281,Client_280,62.0,Salaried,Delhi,87226.87,709
300282,Client_281,39.0,Salaried,Mumbai,103415.71,676
300283,Client_282,42.0,Student,Mumbai,120003.67,696
300284,Client_283,41.0,Student,Chennai,58228.5,751
300285,Client_284,40.0,Student,Pune,104916.35,750
300286,Client_285,19.0,Self Employed,Delhi,35758.79,657
300287,Client_286,75.0,Business,Bengaluru,28923.14,783
300288,Client_287,31.0,Salaried,Pune,67194.48,736
300289,Client_288,64.0,Retired,Delhi,281861.33,695
300290,Client_289,36.0,Salaried,Mumbai,87061.66,733
300291,Client_290,63.0,Self Employed,Mumbai,93667.53,654
300292,Client_291,40.0,Student,Mumbai,41658.68,766
300293,Client_292,55.0,Business,Jaipur,78754.85,695
300294,Client_293,70.0,Self Employed,Bengaluru,28917.28,732
300295,Client_294,54.0,Self Employed,Chennai,34972.97,718
300296,Client_295,70.0,Salaried,Delhi,33573.91,760
300297,Client_296,42.0,Salaried,Delhi,76122.72,764
300298,Client_297,72.0,Retired,Chennai,95207.06,745
300299,Client_298,49.0,STUDENT,Chennai,74199.05,728
300300,Client_299,39.0,Student,Chennai,38856.56,693
300301,Client_300,31.0,Student,Bengaluru,120745.82,623
300302,Client_301,23.0,Self Employed,Kolkata,75193.32,778
300303,Client_302,38.0,Student,Kolkata,52819.44,657
300304,Client_303,71.0,Self Employed,Pune,54818.04,761
300305,Client_304,71.0,Salaried,Jaipur,37881.76,767
300306,Client_305,33.0,Self Employed,Jaipur,51291.01,700
300307,Client_306,71.0,Retired,Bengaluru,56184.54,763
300308,Client_307,34.0,Salaried,Pune,18439.35,829
300309,Client_308,59.0,Salaried,Delhi,63478.51,699
300310,Client_309,25.0,Self Employed,Mumbai,103208.94,736
300311,Client_310,71.0,Self Employed,Chennai,43295.33,752
300312,Client_311,38.0,Salaried,Chennai,224053.58,724
300313,Client_312,53.0,Salaried,Chennai,196163.81,685
300314,Client_313,29.0,Salaried,Jaipur,68789.81,686
300315,Client_314,25.0,Student,Delhi,23257.38,734
300316,Client_315,38.0,Business,Delhi,25540.12,739
300317,Client_316,52.0,Business,Jaipur,36567.98,755
300318,Client_317,29.0,Business,Jaipur,64054.73,683
300319,Client_318,47.0,Student,Jaipur,78178.02,743
300320,Client_319,33.0,Self Employed,Chennai,65867.56,747
300321,Client_320,71.0,Retired,Delhi,36929.38,802
300322,Client_321,53.0,Salaried,Jaipur,67151.79,703
300323,Client_322 ,19.0,Self Employed,Delhi,191068.84,769
300324,Client_323,64.0,Business,Delhi,58266.59,711
300325,Client_324,32.0,Self Employed,Pune,57779.97,668
300326,Client_325,64.0,Student,Kolkata,100153.26,737
300327,Client_326,51.0,Business,Mumbai,86980.19,697
300328,Client_327,75.0,Student,Pune,37679.33,734
300329,Client_328,26.0,Business,Mumbai,70078.58,660
300330,Client_329,29.0,Self Employed,Mumbai,416960.52,632
300331,Client_330,38.0,Salaried,Mumbai,56635.6,609
300332,Client_331,43.0,Self Employed,Pune,55462.8,739
300333,Client_332,75.0,Self Employed,Pune,33626.12,728
300334,Client_333,70.0,Student,Bengaluru,63984.84,663
300335,Client_334,71.0,BUSINESS,Delhi,119336.08,649
300336,Client_335,71.0,Salaried,Chennai,143248.57,766
300337,Client_336,70.0,Self Employed,Kolkata,125972.97,740
300338,Client_337,72.0,Business,Delhi,111101.2,699
300339,Client_338,64.0,Business,Jaipur,179702.77,676
300340,Client_339,72.0,Student,Jaipur,137322.62,737
300341,Client_340,58.0,Retired,Delhi,13829.4,686
300342,Client_341,39.0,Self Employed,Chennai,50346.61,781
300343,Client_342,21.0,Student,Jaipur,68878.88,706
300344,Client_343,51.0,Student ,Delhi,68208.52,790
300345,Client_344,75.0,Business,Jaipur,48796.8,710
300346,Client_345,41.0,Student,Jaipur,25260.32,775
300347,Client_346,56.0,Retired,Delhi,126637.61,654
300348,Client_347,70.0,Self Employed,Kolkata,62414.93,717
300349,Client_348,48.0,Retired,Pune,51668.1,735
300350,Client_349,29.0,Salaried,Pune,66160.96,800
300351,Client_350,26.0,Self Employed,Pune,48978.77,755
300352,Client_351,18.0,Retired,Pune,29222.97,766
300353,Client_352,54.0,Business,Delhi,102317.18,762
300354,Client_353,74.0,Retired,Chennai,36835.11,760
300355,Client_354,53.0,Business,Mumbai,41426.57,818
300356,Client_355,38.0,Salaried,Mumbai,72607.09,876
300357,Client_356,65.0,Student,Kolkata,47215.48,760
300358,Client_357,38.0,Business,Kolkata,65724.67,666
300359,Client_358,22.0,Salaried,Pune,65005.28,882
300360,Client_359,59.0,Retired,Kolkata,29960.94,740
300361,Client_360,52.0,Business,Pune,100757.34,691
300362,Client_361,60.0,Student,Mumbai,46295.66,627
300363,Client_362,46.0,Salaried,Mumbai,80910.97,599
300364,Client_363,37.0,,Jaipur,51145.56,775
300365,Client_364,48.0,Retired,Jaipur,46186.3,578
300366,Client_365,54.0,Salaried,Delhi,114785.11,770
300367,Client_366,65.0,Self Employed,Bengaluru,26050.95,766
300368,Client_367,33.0,Salaried ,Bengaluru,105740.56,813
300369,Client_368,35.0,Salaried,Bengaluru,184355.72,682
300370,Client_369,31.0,Student,Pune,25760.14,759
300371,Client_370,75.0,Student,Pune,79611.6,531
300372,Client_371,45.0,Retired,Mumbai,110981.76,741
300373,Client_372,57.0,Salaried,Delhi,265797.98,861
300374,Client_373,63.0,Self Employed,Chennai,77442.26,726
300375,Client_374,65.0,Self Employed,Delhi,44574.58,708
300376,Client_375,45.0,Retired,Jaipur,119362.95,846
300377,Client_376,23.0,Salaried,Chennai,103724.32,652
300378,Client_377,19.0,Student,Pune,22378.27,872
300379,Client_378,71.0,Business,Bengaluru,56039.3,725
300380,Client_379,69.0,Retired,Kolkata,78410.2,697
300381,Client_380,63.0,Salaried,Delhi,51812.5,696
300382,Client_381,25.0,Salaried,Chennai,49560.19,715
300383,Client_382,33.0,Business,Pune,54720.8,696
300384,Client_383,52.0,Retired,Pune,84862.32,710
300385,Client_384,71.0,Self Employed,Chennai,146951.83,848
300386,Client_385,54.0,Self Employed,Jaipur,52389.9,680
300387,Client_386,27.0,Salaried,Pune,99197.77,698
300388,Client_387,71.0,Business,Jaipur,24034.28,801
300389,Client_388,40.0,Self Employed,Jaipur,210318.12,794
300390,Client_389,28.0,Salaried,Delhi,73127.97,744
300391,Client_390,42.0,Salaried,Kolkata,127479.24,697
300392,Client_391,28.0,Self Employed,Jaipur,113979.08,763
300393,Client_392,35.0,Student,Delhi,49939.18,786
300394,Client_393,51.0,Student,Delhi,82074.74,798
300395,Client_394,45.0,Business,Pune,39797.79,708
300396,Client_395,43.0,Student,Delhi,69111.0,560
300397,Client_396,58.0,Business,Jaipur,112423.09,737
300398,Client_397,43.0,Student,Delhi,122380.71,737
300399,Client_398,52.0,Salaried,Mumbai,157398.77,781
300400,Client_399,21.0,Student,Bengaluru,72037.95,674
300401,Client_400,46.0,Student,Chennai,272185.52,814
300402,Client_401,52.0,Retired,Mumbai,32180.77,761
300403,Client_402,68.0,Salaried,Mumbai,70222.68,787
300404,Client_403,68.0,SELF EMPLOYED,Bengaluru,40811.35,707
300405,Client_404,29.0,Self Employed,Chennai,36835.5,746
300406,Client_405,44.0,Self Employed,Mumbai,24154.14,758
300407,Client_406,64.0,Retired,Pune,265519.37,719
300408,Client_407,69.0,Self Employed,Bengaluru,67077.94,712
300409,Client_408,38.0,Business,Pune,67034.23,730
300410,Client_409,25.0,Business,Mumbai,57817.05,774
300411,Client_410,39.0,Self Employed,Kolkata,40366.75,787
300412,Client_411,37.0,Student,Pune,35416.97,691
300413,Client_412,44.0,Student,Chennai,122403.57,688
300414,Client_413,23.0,Retired,Mumbai,175370.22,607
300415,Client_414,55.0,Student,Chennai,48901.66,688
300416,Client_415,72.0,Self Employed,Bengaluru,113250.67,750
300417,Client_416,59.0,Self Employed,Pune,43686.86,798
300418,Client_417,38.0,Retired,Delhi,42564.29,756
300419,Client_418,40.0,Retired,Mumbai,134210.06,667
300420,Client_419,42.0,Student,Bengaluru,65257.72,724
300421,Client_420,43.0,Retired,Pune,60753.22,707
300422,Client_421,32.0,Business,Chennai,169739.07,647
300423,Client_422,54.0,Salaried,Jaipur,112237.77,731
300424,Client_423,21.0,Salaried,Jaipur,67496.42,576
300425,Client_424,44.0,Salaried,Jaipur,133004.46,756
300426,Client_425,21.0,Salaried,Kolkata,35410.82,645
300427,Client_426,71.0,Self Employed,Chennai,79528.27,653
300428,Client_427,59.0,Student,Bengaluru,64001.75,724
300429,Client_428,41.0,Retired,Jaipur,98009.96,815
300430,Client_429,75.0,Business,Chennai,115372.58,708
300431,Client_430,58.0,Student,Jaipur,70810.53,689
300432,Client_431,51.0,Self Employed,Jaipur,87037.97,494
300433,Client_432,68.0,Student,Chennai,51930.61,724
300434,Client_433,46.0,Business,Chennai,21011.7,798
300435,Client_434,57.0,Student,Chennai,53772.43,676
300436,Client_435,59.0,Business,Jaipur,50229.29,731
300437,Client_436,63.0,Retired,Jaipur,174078.64,640
300438,Client_437,43.0,Business,Chennai,51680.57,658
300439,Client_438,38.0,Student,Delhi,46148.63,690
300440,Client_439,32.0,Salaried,Jaipur,82461.86,784
300441,Client_440,46.0,Student,Pune,178799.22,581
300442,Client_441,31.0,Retired,Mumbai,28012.08,735
300443,Client_442,32.0,Salaried,Pune,93335.86,577
300444,Client_443,58.0,Student,Bengaluru,87983.62,696
300445,Client_444,59.0,Business,Pune,27821.1,798
300446,Client_445,73.0,Retired,Bengaluru,37304.85,657
300447,Client_446,52.0,Business,Chennai,62095.13,725
300448,Client_447,63.0,Retired,Jaipur,72313.76,804
300449,Client_448,54.0,Business,Delhi,97900.25,818
300450,Client_449,53.0,Salaried,Bengaluru,79000.24,745
300451,Client_450,73.0,Retired,Pune,63436.15,661
300452,Client_451,73.0,Retired,Jaipur,122617.68,752
300453,Client_452,35.0,Retired,Delhi,55732.06,717
300454,Client_453,36.0,Salaried,Mumbai,84436.4,688
300455,Client_454,68.0,Business,Pune,19420.64,654
300456,Client_455,46.0,Self Employed,Chennai,171541.28,683
300457,Client_456,46.0,Self Employed,Mumbai,29693.29,653
300458,Client_457,72.0,Retired,Kolkata,64342.63,670
300459,Client_458,21.0,Self Employed,Bengaluru,166894.1,690
300460,Client_459,66.0,Business,Delhi,61921.27,706
300461,Client_460,61.0,Business,Kolkata,114900.68,872
300462,Client_461,37.0,Business,Mumbai,73189.39,719
300463,Client_462,59.0,Business,Delhi,78068.15,833
300464,Client_463,60.0,Salaried,Bengaluru,44321.17,795
300465,Client_464,68.0,Retired,Delhi,130194.32,665
300466,Client_465,45.0,Salaried,Kolkata,136267.1,724
300467,Client_466,60.0,Salaried,Kolkata,80309.11,696
300468,Client_467,75.0,Salaried,Pune,51760.5,689
300469,Client_468,52.0,Salaried,Jaipur,67601.82,663
300470,Client_469,46.0,Retired,Mumbai,80452.34,731
300471,Client_470,72.0,,Kolkata,17297.9,802
300472,Client_471,30.0,Student,Pune,20420.44,796
300473,Client_472,71.0,Business,Bengaluru,98414.61,672
300474,Client_473,47.0,Salaried,Pune,106786.09,736
300475,Client_474,35.0,Business,Jaipur,113207.59,720
300476,Client_475,73.0,Student,Jaipur,77654.33,576
300477,Client_476,41.0,Business,Jaipur,108944.49,786
300478,Client_477,46.0,Student,Chennai,34427.39,682
300479,Client_478,21.0,Retired,Chennai,81029.53,834
300480,Client_479,46.0,Retired,Delhi,166142.69,869
300481,Client_480,31.0,Business,Jaipur,91201.83,775
300482,Client_481,23.0,Self Employed,Delhi,66977.68,768
300483,Client_482,65.0,Salaried,Bengaluru,20362.25,823
