Complaint_ID,Customer_ID,Complaint_Date,Type,Priority,Resolution_Days,Satisfaction
900069,300069,2023-02-16 14:20:21,Transaction,Low,0,1
900070,324718,2023-06-20 13:17:27,App,Critical,11,4
900071,321869,2024-01-24 21:06:13,App,Medium,12,2
900072,324135,2023-05-14 17:09:07,Fraud,High,6,2
900073,329428,2025-12-30 19:23:11,Card,Medium,14,3
900074,326160,2025-06-01 03:13:09,Transaction,Medium,8,5
900075,306091,2025-06-25 03:46:33,Transaction,Medium,3,1
900076,317660,2025-08-10 19:24:43,Fraud,Medium,14,5
900077,309950,2025-01-31 06:32:25,Card,High,0,1
900078,315775,2024-08-26 12:48:18,Transaction,Low,9,5
900079,335955,2023-09-09 17:25:32,Fraud,Medium,2,5
900080,321960,2023-01-10 13:55:04,Card,Critical,9,4
900081,317323,2024-08-02 00:48:34,Fraud,High,9,1
900082,300131,2025-01-04 10:30:07,Loan,High,14,5
900083,308423,2025-02-25 07:17:49,Service,High,19,2
900084,315698,2025-04-29 09:44:13,App,High,0,2
900085,323224,2023-05-30 02:39:44,App,Low,13,4
900086,334658,2025-12-27 16:35:57,App,High,18,1
900087,308118,2023-12-12 13:20:38,Card,Medium,1,2
900088,337890,2024-12-10 13:59:19,Service,Low,13,1
900089,308981,2025-11-22 03:12:17,Loan,Medium,19,2
900090,324578,2024-09-29 10:26:56,Transaction,High,6,3
900091,317606,2024-06-03 19:45:23,Loan,Medium,5,3
900092,307573,2023-01-02 22:32:56,Service,High,14,5
900093,324726,2024-07-06 05:12:26,Fraud,Low,7,5
900094,336407,2025-05-14 14:18:54,Fraud,Medium,13,4
900095,311772,2024-09-23 07:03:30,Transaction,High,11,2
900096,339853,2023-07-24 11:04:44,Service,High,18,5
900097,302312,2023-10-25 10:44:34,Transaction,Low,15,5
900098,300198,2023-12-20 00:32:08,Fraud,High,12,5
900099,325887,2025-02-12 18:01:19,App,High,12,1
900100,301345,2024-12-20 20:16:38,App,Medium,12,5
900101,317518,2023-10-08 22:02:59,Loan,Medium,17,5
900102,338519,2024-03-06 15:20:26,Loan,Medium,14,1
900103,315204,2024-08-04 21:54:32,App,Critical,11,5
900104,324449,2025-07-09 07:17:22,Loan,Critical,0,2
900105,337932,2024-11-01 00:54:12,Service,Critical,12,4
900106,335276,2023-04-02 06:31:35,Loan,Critical,12,5
900107,335561,2025-06-21 17:04:11,Card,High,19,3
900108,302230,2024-06-02 22:23:52,Service,Low,2,2
900109,320434,2025-05-28 07:10:42,Service,Critical,1,5
900110,309623,2024-09-07 11:37:38,Fraud,Low,19,3
900111,326218,2023-02-01 23:21:50,Loan,High,6,3
900112,319239,2024-11-04 09:14:24,Loan,Critical,10,5
900113,333394,2023-07-06 22:38:02,Transaction,Medium,11,3
900114,327308,2023-02-24 03:36:14,Loan,Low,11,1
900115,304358,2023-01-13 12:33:59,Loan,Critical,16,2
900116,319886,2024-04-12 07:52:04,Card,Low,0,3
900117,339168,2025-07-04 17:34:25,App,Medium,8,1
900118,318962,2025-03-05 04:54:01,Loan,Critical,12,5
900119,300262,2023-07-20 18:40:27,Fraud,Medium,5,2
900120,335492,2024-05-29 14:02:16,App,High,14,1
900121,330046,2024-09-27 13:42:07,Fraud,Low,7,2
900122,313084,2025-08-17 16:54:15,Service,High,4,5
900123,307104,2024-04-21 01:51:17,Service,Low,1,4
900124,314658,2023-05-30 20:33:53,App,Low,5,5
900125,316024,2023-07-07 04:42:40,Loan,High,10,5
900126,318662,2023-04-13 05:22:25,Fraud,Medium,18,5
900127,310404,2023-07-16 09:29:12,App,Low,11,4
900128,319803,2025-07-23 19:31:58,Service,Low,8,4
900129,318674,2023-02-27 01:39:30,Transaction,Critical,7,5
900130,306015,2025-08-12 08:28:33,Transaction,Low,16,1
900131,308540,2025-02-21 04:32:15,Card,High,10,1
900132,321700,2025-11-11 00:06:18,Service,Medium,19,1
900133,326663,2023-07-21 22:41:11,Fraud,High,15,3
900134,324662,2025-02-19 16:01:48,Loan,High,5,5
900135,338358,2025-03-18 03:29:06,Service,Medium,5,1
900136,307393,2023-05-14 16:37:28,Fraud,Low,6,2
900137,323462,2025-12-22 10:24:18,Card,Low,3,2
900138,333245,2025-08-04 17:30:20,Transaction,Low,15,3
900139,333910,2023-05-20 23:25:02,Transaction,High,19,1
900140,303309,2023-04-02 16:08:11,App,Critical,16,5
900141,332029,2024-03-18 06:21:24,Service,Low,14,3
900142,317556,2025-09-17 16:57:42,Transaction,Low,7,5
900143,309223,2025-03-01 16:00:20,Service,Critical,19,3
900144,319941,2024-04-26 08:32:50,Card,Low,8,3
900145,319213,2025-06-03 09:37:56,Fraud,High,10,3
900146,313633,2023-03-30 22:08:23,Loan,Medium,3,2
900147,303967,2023-08-13 01:29:44,Fraud,High,9,2
900148,302269,2025-10-25 07:45:16,Service,Critical,6,5
900149,335277,2023-01-01 10:58:20,Fraud,Critical,6,5
900150,312277,2023-04-21 19:30:44,App,Critical,7,4
900151,326743,2023-01-26 18:50:45,App,Critical,9,1
900152,327824,2023-08-05 21:01:46,Card,Critical,8,3
900153,321805,2023-01-05 07:04:46,Loan,High,14,3
900154,311503,2023-09-04 19:02:08,Card,Medium,19,1
900155,317215,2023-02-17 22:37:34,Card,Medium,10,5
900156,323295,2025-11-25 01:42:42,Fraud,Low,9,5
900157,337690,2024-02-02 15:40:58,Loan,Medium,11,1
900158,329895,2023-04-20 13:04:18,Service,High,4,3
900159,301950,2023-09-30 06:30:02,App,High,9,3
900160,310919,2025-06-04 13:29:23,Fraud,Medium,15,4
900161,329288,2023-12-06 14:57:24,Service,High,19,4
900162,335418,2024-12-03 13:53:52,Transaction,High,19,5
900163,306452,2024-03-12 03:40:36,Transaction,Critical,1,5
900164,320367,2025-12-19 22:08:05,Fraud,Medium,8,5
900165,316304,2025-10-06 18:55:57,Transaction,High,8,3
900166,330563,2023-06-29 13:13:32,Loan,Medium,17,5
900167,325286,2024-01-02 00:13:37,Fraud,Medium,17,3
900168,334209,2023-10-09 21:32:17,Card,Medium,13,1
900169,316296,2025-01-18 16:06:12,App,Low,13,4
900170,307325,2024-04-28 09:11:28,Loan,Low,16,1
900171,332022,2025-12-28 04:08:53,Fraud,Medium,16,5
900172,322877,2023-09-20 17:50:47,Loan,Medium,14,1
900173,338253,2023-02-14 11:09:35,Card,Low,7,3
900174,320079,2025-06-01 04:54:49,App,Low,18,4
900175,338041,2024-10-23 23:27:39,Loan,Medium,7,3
900176,306372,2025-02-26 19:29:04,Loan,Low,15,1
900177,325406,2024-04-04 03:14:30,Loan,High,2,2
900178,323987,2024-11-01 23:40:21,Transaction,Medium,10,2
900179,313597,2025-02-25 22:04:03,Card,Critical,17,3
900180,313806,2025-12-28 18:06:19,Loan,Medium,18,2
900181,303783,2023-08-30 07:21:22,Card,High,2,4
900182,314571,2023-02-09 04:06:19,Fraud,High,17,5
900183,323158,2025-05-08 15:49:38,Loan,Low,13,4
900184,334781,2024-09-23 21:34:49,App,Low,13,1
900185,305512,2024-08-18 10:57:12,Loan,Low,3,1
900186,303137,2025-02-25 00:54:35,App,Critical,6,5
900187,309807,2025-05-31 18:21:27,Transaction,Critical,13,4
900188,336780,2025-02-17 22:47:03,Fraud,Medium,17,3
900189,337517,2024-06-27 06:11:06,Loan,Low,12,1
900190,309039,2024-10-17 16:08:55,Card,Low,5,4
900191,320919,2024-01-10 15:44:03,Card,Critical,14,5
900192,310146,2024-01-12 21:04:16,Fraud,Critical,5,2
900193,332187,2024-09-07 18:06:11,Card,High,8,1
900194,304283,2024-11-10 04:09:00,Transaction,Medium,17,4
900195,300665,2025-01-26 02:59:57,Loan,Medium,1,2
900196,318624,2024-02-11 23:49:43,Card,Medium,6,2
900197,330063,2023-05-22 15:50:53,App,Critical,0,3
900198,305193,2024-09-25 08:26:37,Card,Medium,0,3
900199,336690,2024-11-01 09:24:24,Card,High,5,1
900200,338420,2024-03-22 16:54:25,Loan,Medium,7,4
900201,328420,2025-08-10 14:05:57,Card,Low,2,2
900202,327992,2025-08-23 12:02:43,Card,Medium,17,3
900203,304303,2025-09-11 21:02:09,Transaction,Critical,16,3
900204,307109,2025-02-20 21:57:04,Fraud,Low,0,2
900205,313091,2025-12-14 19:16:55,Card,Medium,12,3
900206,320894,2023-04-25 14:27:08,Transaction,High,4,3
900207,303990,2025-03-04 08:34:23,Loan,High,18,1
900208,300103,2023-07-07 03:25:43,Loan,High,10,4
900209,310590,2025-02-11 22:01:19,Transaction,High,6,5
900210,322566,2024-04-14 20:11:44,Transaction,Medium,18,1
900211,304403,2025-01-22 22:30:51,Transaction,Critical,3,1
900212,319684,2025-11-17 21:41:09,Card,Medium,13,4
900213,325734,2023-07-05 22:35:34,App,Medium,18,5
900214,328789,2023-03-09 01:04:15,App,Medium,1,4
900215,307986,2025-08-31 17:36:06,App,Medium,15,2
900216,339883,2024-11-28 02:12:57,Loan,Medium,4,4
900217,304251,2025-10-20 18:00:15,Transaction,Medium,17,1
900218,322165,2024-02-15 09:24:26,Transaction,High,16,2
900219,325204,2023-11-11 11:01:45,Card,Low,19,3
900220,330089,2025-09-29 16:04:15,App,Critical,18,5
900221,327522,2023-05-23 22:29:35,App,Medium,9,3
900222,323492,2023-02-11 13:03:25,Transaction,Medium,9,1
900223,307091,2023-10-29 11:05:57,Transaction,Medium,5,3
900224,307864,2023-06-19 09:41:39,Service,Medium,10,1
900225,300004,2025-06-20 04:24:03,Loan,Medium,11,1
900226,304077,2025-09-06 03:44:04,Fraud,Medium,9,3
900227,330925,2024-05-24 23:55:38,Service,Low,7,1
900228,338507,2024-09-07 19:51:14,Service,Medium,11,2
900229,329581,2023-11-11 12:18:32,Card,Medium,4,4
900230,333690,2025-01-03 02:44:43,Fraud,Critical,0,1
900231,302988,2025-11-24 16:17:45,Transaction,Low,7,2
900232,318537,2025-01-07 09:51:56,App,Medium,12,5
900233,337067,2024-01-05 02:12:29,App,Critical,3,2
900234,302453,2023-12-14 10:28:12,Card,Medium,10,1
900235,321446,2023-04-01 08:23:34,Card,Critical,16,3
900236,328822,2023-09-07 13:51:07,Card,Critical,13,4
900237,337793,2024-08-27 09:19:32,Service,High,1,1
900238,306103,2024-08-09 15:10:41,Fraud,Medium,11,3
900239,331836,2024-10-30 10:56:09,Fraud,Low,18,4
900240,333768,2023-05-16 09:59:23,Fraud,Low,19,2
900241,339127,2024-01-03 20:32:01,App,Low,15,4
900242,335111,2023-05-15 03:09:40,App,Medium,9,5
900243,301724,2025-10-30 18:19:30,App,Low,4,5
900244,306010,2025-04-10 17:17:41,Service,Medium,6,4
900245,305611,2024-12-21 18:02:00,App,High,18,5
900246,335164,2024-06-15 11:41:50,App,High,10,4
900247,318722,2024-09-12 16:59:47,Service,Low,15,3
900248,338613,2025-08-10 20:40:37,App,Low,12,5
900249,301165,2024-09-12 17:50:40,Fraud,Critical,0,1
900250,324427,2023-12-21 19:01:05,Service,Medium,17,5
900251,334981,2023-06-17 08:32:26,Loan,Low,18,3
900252,333412,2024-03-02 23:51:34,Card,Low,3,5
900253,319125,2023-10-14 16:49:17,App,Medium,10,5
900254,309930,2023-03-21 08:55:58,Transaction,High,10,1
900255,330893,2025-01-06 19:14:57,Fraud,Medium,8,2
900256,311875,2024-07-28 22:36:28,Service,Critical,3,5
900257,324974,2025-09-02 12:05:09,Transaction,High,15,3
900258,339087,2023-08-12 07:49:35,Fraud,Critical,12,4
900259,310092,2023-03-30 10:51:00,Fraud,Low,6,2
900260,337347,2024-03-21 21:39:53,Card,High,18,5
900261,300684,2024-12-29 06:18:40,Fraud,Medium,18,2
900262,336064,2023-10-12 04:24:46,App,High,7,3
900263,338341,2023-04-11 19:55:58,Card,High,11,1
900264,325188,2025-05-07 10:45:29,Service,Critical,3,3
900265,337266,2025-05-04 23:03:00,Loan,Medium,17,4
900266,312042,2025-03-24 10:10:38,Fraud,Medium,14,3
900267,310934,2025-08-16 06:21:14,Card,Medium,6,1
900268,305279,2025-09-15 09:44:46,Loan,Medium,6,2
900269,318060,2025-07-18 15:32:57,App,Critical,15,5
900270,327451,2025-02-26 05:58:34,Transaction,Critical,14,5
900271,307244,2023-06-18 06:30:03,Card,High,19,2
900272,336346,2024-12-24 03:27:14,Transaction,Medium,13,1
900273,338383,2023-08-17 12:51:00,Transaction,Medium,12,5
900274,338079,2025-09-02 03:38:12,App,Critical,13,3
900275,327118,2025-09-18 07:00:13,Service,Medium,18,4
900276,301208,2025-08-30 21:00:23,Transaction,Critical,18,2
900277,306109,2023-08-25 04:02:05,Card,Critical,15,4
900278,324349,2023-02-06 14:19:28,App,Medium,11,1
900279,321614,2025-07-22 07:29:06,Transaction,Low,19,3
900280,306701,2024-09-05 13:19:21,Service,Medium,13,2
900281,322351,2023-06-17 19:31:27,Card,Low,2,2
900282,305893,2025-08-02 00:48:30,Loan,High,17,4
900283,302491,2023-05-26 20:52:27,Card,Critical,16,2
900284,316764,2024-07-03 21:16:25,Loan,Low,14,4
900285,330440,2025-02-03 11:56:33,App,Medium,16,5
900286,311872,2024-03-07 21:00:54,Fraud,Medium,9,1
900287,332309,2023-08-21 03:11:46,Service,Medium,0,1
900288,310955,2025-04-08 03:43:41,Loan,Medium,14,2
900289,317993,2024-06-20 07:39:24,Service,High,5,1
900290,333884,2024-10-06 20:58:13,Fraud,Medium,4,3
900291,337382,2023-07-19 16:55:01,Transaction,Low,11,3
900292,327614,2023-08-31 07:34:42,Transaction,Critical,12,2
900293,338133,2024-10-15 09:16:41,Loan,Low,6,1
900294,323631,2024-02-12 02:57:35,App,Low,19,4
900295,316579,2023-04-02 22:44:53,Service,Low,15,4
900296,336382,2023-03-20 04:52:51,Service,Medium,3,1
900297,329396,2024-07-11 11:02:04,Fraud,Low,2,1
900298,307932,2023-03-12 10:18:01,Card,Critical,6,2
900299,316552,2025-11-13 03:48:20,App,High,1,3
900300,316065,2023-11-17 08:17:54,Service,High,19,1
900301,331620,2023-09-29 15:15:56,Card,Medium,3,1
900302,335051,2024-09-02 18:25:14,Card,High,10,4
900303,303751,2025-02-23 12:07:53,Loan,High,15,1
900304,300333,2025-08-23 20:25:32,App,Medium,5,3
900305,317711,2025-05-14 19:01:38,Loan,High,0,2
900306,304472,2024-08-15 17:08:26,Service,High,3,5
900307,324686,2023-04-04 02:01:15,Loan,Medium,2,2
900308,334831,2025-08-22 22:02:29,Transaction,Critical,12,5
900309,328204,2024-05-13 01:17:39,Fraud,Low,3,2
900310,314823,2024-02-17 09:29:06,Transaction,Critical,2,1
900311,326527,2025-08-15 12:11:05,Service,Critical,10,3
900312,304077,2023-10-26 19:57:25,Transaction,Medium,9,4
900313,320337,2024-05-11 09:37:44,Fraud,Medium,10,1
900314,309076,2023-12-15 23:50:48,Fraud,Medium,3,3
900315,308167,2024-12-04 23:15:20,Fraud,Low,18,5
900316,307213,2025-03-08 20:41:21,Card,Critical,0,3
900317,332874,2024-07-02 06:29:10,Loan,Medium,9,4
900318,334983,2025-04-09 18:59:31,App,Critical,3,5
900319,330107,2024-03-25 22:03:24,Service,Medium,12,2
900320,319777,2025-03-06 05:19:11,App,Low,12,4
900321,317682,2023-05-02 12:11:17,Fraud,Medium,13,1
900322,322371,2024-07-14 06:53:10,Service,High,0,1
900323,310927,2025-10-30 11:23:53,Fraud,Critical,7,3
900324,332431,2025-04-01 00:13:11,Loan,High,9,5
900325,314257,2023-03-29 06:45:55,Fraud,Medium,6,5
900326,323877,2025-06-02 15:29:18,Service,Low,5,2
900327,313654,2025-02-06 04:50:37,Transaction,High,13,3
900328,330914,2024-09-20 07:37:18,Card,High,0,4
900329,331488,2023-10-16 11:29:57,Card,Critical,8,5
900330,337122,2024-11-20 18:19:57,Service,Medium,0,5
900331,332077,2025-04-14 22:15:02,Card,Critical,8,1
900332,305599,2025-02-17 17:39:35,Card,Medium,5,3
900333,305709,2024-05-24 05:04:27,Fraud,Low,16,1
900334,332070,2024-09-13 14:15:40,Card,High,4,3
900335,314852,2024-09-16 09:45:53,App,Medium,7,5
900336,319438,2025-12-18 17:25:28,Fraud,Low,8,3
900337,303192,2023-03-02 19:07:57,Card,High,1,1
900338,320430,2023-07-10 15:52:02,Transaction,Low,1,3
900339,320082,2024-10-03 04:17:06,Service,Critical,0,2
900340,322137,2023-03-19 08:07:11,Fraud,High,12,4
900341,338548,2024-04-09 20:46:05,App,Low,14,4
900342,325397,2024-08-30 05:54:55,Transaction,High,17,4
900343,334550,2023-08-14 14:55:31,Transaction,Low,15,1
900344,328108,2023-07-15 01:52:32,Card,Medium,4,5
900345,304431,2023-02-08 09:21:42,Fraud,Critical,11,1
900346,326026,2023-08-13 12:27:50,Transaction,Low,15,3
900347,329664,2024-04-23 09:00:19,Card,Critical,17,3
900348,305137,2023-03-11 14:57:56,Transaction,Low,5,4
900349,334692,2023-11-11 09:16:19,Service,Medium,17,2
900350,304174,2025-10-05 09:13:51,Card,Low,16,2
900351,333544,2025-05-21 18:06:41,Card,Low,9,2
900352,305904,2025-05-21 18:44:48,Card,High,1,3
900353,312005,2024-08-01 13:28:13,App,Critical,1,2
900354,300418,2024-02-02 11:53:10,Fraud,Medium,4,1
900355,327945,2024-04-20 13:10:39,App,Medium,1,4
900356,310683,2024-05-01 12:42:19,Card,Critical,11,2
900357,305117,2024-01-06 10:51:39,Loan,High,19,1
900358,336318,2025-08-15 13:32:25,Loan,Critical,12,4
900359,325384,2023-01-05 22:00:21,Service,Critical,0,2
900360,334636,2025-09-29 11:04:09,Transaction,Medium,2,5
900361,313510,2023-03-23 17:05:50,App,High,0,4
900362,315823,2023-09-01 05:35:31,Card,High,17,1
900363,303645,2023-07-27 07:45:51,Loan,Critical,16,4
900364,307187,2023-11-12 09:56:21,Card,High,0,5
900365,304793,2024-09-09 00:58:45,Transaction,High,9,5
900366,311740,2025-09-09 20:44:56,Fraud,Medium,6,5
900367,307377,2025-11-25 05:10:28,Card,Medium,3,4
900368,316869,2025-12-03 02:24:49,Fraud,Critical,3,4
900369,336054,2025-07-28 01:59:55,Card,Medium,16,4
900370,304385,2025-05-06 23:35:37,Loan,Medium,12,3
900371,319779,2023-03-09 11:11:39,App,Low,5,4
900372,328830,2024-12-15 09:28:39,Service,High,1,5
900373,325808,2023-04-27 10:41:16,Transaction,High,15,4
900374,336977,2023-03-19 15:05:54,App,High,16,2
900375,313708,2025-04-16 19:50:09,Card,Critical,4,2
900376,319228,2024-04-15 04:14:29,App,High,12,3
900377,308375,2025-06-07 16:35:07,App,Critical,15,3
900378,313335,2023-07-25 01:53:45,Card,High,4,3
900379,337154,2023-09-18 07:30:56,Card,Low,10,3
900380,330220,2025-03-29 09:03:33,Card,Medium,0,3
900381,312932,2024-01-29 20:40:41,Card,Low,9,5
900382,327248,2024-06-14 23:53:13,Loan,High,8,2
900383,320213,2023-12-20 07:39:06,Transaction,Low,16,5
900384,314377,2025-05-20 11:32:48,Loan,Critical,6,4
900385,329441,2025-09-05 11:42:52,Service,Medium,12,1
900386,330385,2025-07-28 23:37:27,Fraud,High,1,2
900387,335750,2024-12-10 06:41:44,App,Low,16,4
900388,319375,2025-06-02 04:03:42,Loan,Medium,9,2
900389,309651,2023-04-14 22:50:03,Fraud,High,17,4
900390,306085,2024-07-03 02:02:08,Loan,Medium,4,4
900391,332176,2023-06-04 02:37:06,App,Medium,1,1
900392,300666,2025-04-27 23:07:06,Service,Low,3,5
900393,334032,2025-10-02 21:27:01,Service,High,2,5
900394,333991,2023-12-24 01:11:05,Fraud,High,10,5
900395,303851,2025-09-15 13:03:54,Card,High,18,1
900396,322881,2023-07-13 16:24:20,Transaction,Critical,16,1
900397,303502,2024-04-01 15:05:36,Fraud,Low,11,3
900398,323193,2024-04-04 22:11:06,Transaction,Low,1,5
900399,322406,2024-09-10 07:50:32,Card,Low,11,2
900400,313436,2025-02-09 12:55:34,Transaction,Critical,9,1
900401,314713,2023-04-05 17:54:56,Card,Low,13,4
900402,305152,2024-12-06 23:53:00,Transaction,Critical,0,4
900403,318571,2024-03-03 03:44:45,Transaction,Low,16,1
900404,313589,2023-12-01 12:31:01,Service,Low,1,3
900405,310198,2025-07-26 20:30:36,Service,Low,10,5
900406,333405,2023-05-01 17:07:51,Service,Critical,14,3
900407,333822,2024-08-14 19:34:41,Card,Medium,11,5
900408,332083,2025-05-31 15:24:54,Transaction,Medium,5,5
900409,327263,2025-05-20 15:02:25,Transaction,Critical,13,5
900410,332972,2025-12-12 23:32:05,Transaction,High,10,1
900411,317499,2025-05-12 11:07:05,App,Low,9,4
900412,329881,2024-01-30 22:10:57,Service,High,14,3
900413,317634,2023-11-27 06:41:49,Transaction,Medium,17,2
900414,316584,2023-01-04 01:43:23,Service,High,14,4
900415,300185,2025-11-15 12:08:42,Service,High,2,2
900416,316091,2023-07-10 03:05:53,Transaction,Critical,13,3
900417,310773,2023-10-25 21:54:30,App,High,9,2
900418,324798,2023-01-13 00:22:53,Transaction,Medium,9,4
900419,334844,2024-04-25 23:08:21,Loan,High,5,4
900420,301731,2023-03-23 09:19:50,Loan,High,3,1
900421,335382,2024-05-14 18:22:21,Fraud,Low,0,1
900422,322839,2024-09-25 07:42:57,Transaction,High,6,1
900423,318055,2025-11-13 06:07:04,Card,Low,10,4
900424,320199,2025-04-17 21:06:31,Card,Critical,3,4
900425,305031,2024-03-13 09:25:20,App,Critical,19,3
900426,318813,2025-01-08 11:25:59,Fraud,High,1,3
900427,310792,2024-09-05 23:26:07,Service,High,19,5
900428,328241,2023-01-02 12:37:11,Loan,High,9,4
900429,320719,2024-08-26 06:39:04,Loan,Critical,13,1
900430,320203,2024-08-16 14:17:10,Transaction,High,1,5
900431,336345,2023-06-21 22:57:33,Card,Low,19,5
900432,308087,2024-07-20 01:25:38,App,High,10,4
900433,312654,2024-01-19 09:41:45,Card,Low,11,3
900434,324613,2024-11-15 13:27:44,Transaction,Critical,18,4
900435,336809,2023-12-04 02:58:08,Card,Critical,1,4
900436,308630,2025-02-04 10:10:36,Transaction,High,18,4
900437,335525,2025-02-24 16:12:10,Fraud,Low,15,1
900438,314154,2024-07-17 04:23:02,Service,Critical,0,5
900439,306715,2023-02-24 09:35:38,Fraud,Critical,17,1
900440,320539,2025-07-27 03:19:28,Service,Medium,7,1
900441,315692,2025-02-03 20:17:25,Transaction,Medium,3,1
900442,319833,2024-03-26 23:49:26,Fraud,High,19,4
900443,305929,2023-08-09 12:38:26,Service,Critical,15,2
900444,321702,2024-08-20 09:51:58,Service,Critical,1,1
900445,317838,2024-03-31 10:03:38,App,Medium,8,3
900446,328109,2023-08-25 19:24:23,Fraud,Low,15,4
900447,330058,2023-09-03 08:38:56,Fraud,High,19,2
900448,310965,2024-08-29 13:07:52,Fraud,Medium,19,1
900449,316938,2023-10-25 08:21:48,Loan,Medium,7,3
900450,310640,2025-05-26 02:39:46,App,High,8,4
900451,322524,2024-04-05 09:29:48,Fraud,High,0,2
900452,339439,2024-12-22 09:54:29,Transaction,Medium,2,4
900453,324131,2025-08-11 00:18:11,Card,Medium,8,3
900454,329387,2024-01-25 01:37:16,Transaction,Medium,9,1
900455,319453,2025-06-06 22:15:26,Transaction,Medium,18,1
900456,321533,2024-12-16 14:05:45,Service,High,11,2
900457,301888,2025-11-25 13:38:52,Card,Medium,7,2
900458,337230,2023-03-07 07:24:14,App,Low,12,3
900459,320965,2023-09-12 17:55:34,Card,High,4,2
900460,312755,2023-11-05 17:57:14,Card,Medium,15,3
900461,337157,2023-03-23 08:13:31,App,Medium,19,5
900462,327862,2024-10-31 09:44:55,Loan,Medium,9,1
900463,321237,2025-03-05 18:11:43,App,Critical,9,1
900464,324179,2025-10-02 04:48:47,Transaction,Critical,0,4
